"eudract_number","double_blind","single_blind","open","randomised","crossover","parallel_group","controlled","arms"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000498-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000536-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000536-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000536-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000536-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000536-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000615-15","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000701-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-000879-26","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001211-37","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001212-20","No","No","Yes","No","No","No","No","1"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001252-52","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001451-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-001674-32","Yes","No","No","No","No","No","No","1"
"2008-001755-22","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-001755-22","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-001755-22","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-001849-26","No","No","Yes","No","No","No","No","1"
"2008-002140-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-002226-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-002356-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003003-31","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003174-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003314-97","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003617-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003617-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003617-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003800-73","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-003995-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-003997-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-004338-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-004338-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-004338-26","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-004496-22","No","No","Yes","No","No","No","No","1"
"2008-004496-22","No","No","Yes","No","No","No","No","1"
"2008-004496-22","No","No","Yes","No","No","No","No","1"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-004758-34","No","No","Yes","Yes","Yes","No","Yes","2+"
"2008-005011-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005011-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005011-18","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005056-24","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005084-34","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005215-17","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005232-33","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-005276-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006021-14","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006181-28","No","No","Yes","No","No","No","No","1"
"2008-006181-28","No","No","Yes","No","No","No","No","1"
"2008-006181-28","No","No","Yes","No","No","No","No","1"
"2008-006181-28","No","No","Yes","No","No","No","No","1"
"2008-006181-28","No","No","Yes","No","No","No","No","1"
"2008-006300-27","No","No","Yes","No","No","No","No","1"
"2008-006300-27","No","No","Yes","No","No","No","No","1"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006439-12","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006801-17","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006831-10","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-006871-60","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006871-60","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-006954-17","No","No","Yes","No","No","No","No","1"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007008-27","No","No","Yes","Yes","No","Yes","Yes","2+"
"2008-007087-42","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007087-42","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007087-42","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007087-42","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007609-36","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007645-31","No","No","Yes","No","No","No","No","1"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-007969-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-008004-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-008004-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-008004-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-008004-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2008-008198-73","No","No","Yes","No","No","No","No","1"
"2008-008198-73","No","No","Yes","No","No","No","No","1"
"2008-008198-73","No","No","Yes","No","No","No","No","1"
"2008-008198-73","No","No","Yes","No","No","No","No","1"
"2009-010143-13","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-010403-84","No","No","Yes","No","No","No","No","2+"
"2009-010760-42","No","No","Yes","No","No","Yes","No","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011056-21","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011252-22","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011454-17","No","No","Yes","No","No","No","No","1"
"2009-011454-17","No","No","Yes","No","No","No","No","1"
"2009-011454-17","No","No","Yes","No","No","No","No","1"
"2009-011902-41","No","No","Yes","No","No","No","No","1"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-011925-14","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012007-25","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012432-32","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-012432-32","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-012432-32","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-012500-11","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-013174-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-013174-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-013174-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-013174-41","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-013435-38","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015114-22","No","Yes","No","Yes","No","Yes","Yes","2+"
"2009-015119-42","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015407-47","No","No","Yes","Yes","No","No","Yes","2+"
"2009-015407-47","No","No","Yes","Yes","No","No","Yes","2+"
"2009-015407-47","No","No","Yes","Yes","No","No","Yes","2+"
"2009-015407-47","No","No","Yes","Yes","No","No","Yes","2+"
"2009-015407-47","No","No","Yes","Yes","No","No","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015459-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-015476-98","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-016047-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-016047-19","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016217-23","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-016584-10","No","No","Yes","Yes","No","No","Yes","2+"
"2009-016584-10","No","No","Yes","Yes","No","No","Yes","2+"
"2009-016584-10","No","No","Yes","Yes","No","No","Yes","2+"
"2009-017374-20","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-017432-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-017432-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-017432-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-017432-40","Yes","No","No","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017485-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
"2009-017775-19","No","No","Yes","No","No","No","No","1"
