"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_orig","open_orig","double_blind_orig","single_blind_orig","controlled_orig","parallel_group_orig","crossover_orig","randomised_orig"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","FR","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","CZ","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","AT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004344-78","Cilengitide in subjects with newly diagnosed glioblastoma multiforme and methylated MGMT gene promoter – a multicenter open-label controlled Phase III study testing cilengitide in combination with standard treatment (temozolomide with concomitant radiation therapy followed by temozolomide maintenance therapy) versus standard treatment alone.","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004517-34","Allogeneic stem cell transplantation for children adolescents and young adults with relapsed or refractory AMLMulti Center Therapy Concept","DE","No","No","Yes","ok","No","No","No","No","1","No","No","Yes","No","No","No","No","No","1","No","2+","Yes","No","No","Yes","Yes","No","No"
"2007-004517-34","Allogeneic stem cell transplantation for children adolescents and young adults with relapsed or refractory AMLMulti Center Therapy Concept","CZ","No","No","Yes","ok","No","No","No","No","1","No","No","Yes","No","No","No","No","No","1","No","2+","Yes","No","No","Yes","Yes","No","No"
"2007-004517-34","Allogeneic stem cell transplantation for children adolescents and young adults with relapsed or refractory AML","AT","No","No","Yes","ok","No","No","No","No","1","No","No","Yes","No","No","No","No","No","1","No","2+","Yes","No","No","Yes","Yes","No","No"
"2007-004803-36","Sperimentazione multicentrica randomizzata di fase III in doppio cieco per la valutazione dellefficacia e della sicurezza del BIBF 1120 orale associato a terapia standard con docetaxel rispetto al placebo associato a terapia standard con docetaxel nei pazienti affetti da cancro del polmone a cellule non piccole in stadio IIIB/IV o recidivo dopo il fallimento della chemioterapia di prima linea","CZ","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004803-36","Sperimentazione multicentrica randomizzata di fase III in doppio cieco per la valutazione dellefficacia e della sicurezza del BIBF 1120 orale associato a terapia standard con docetaxel rispetto al placebo associato a terapia standard con docetaxel nei pazienti affetti da cancro del polmone a cellule non piccole in stadio IIIB/IV o recidivo dopo il fallimento della chemioterapia di prima linea","IT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients with stage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","BG","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Sperimentazione multicentrica randomizzata di fase III in doppio cieco per la valutazione dellefficacia e della sicurezza del BIBF 1120 orale associato a terapia standard con docetaxel rispetto al placebo associato a terapia standard con docetaxel nei pazienti affetti da cancro del polmone a cellule non piccole in stadio IIIB/IV o recidivo dopo il fallimento della chemioterapia di prima linea","AT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate theefficacy and safety of oral BIBF 1120 plus standard docetaxel therapycompared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of firstline chemotherapy.Estudio en Fase III multicéntrico randomizado doble-ciego  para investigar la eficacia y seguridad de la administración oral de BIBF 1120 junto con Docetaxel como terapia estándar comparado con placebo junto con Docetaxel como terapia estándar en pacientes con cáncer de pulmón no microcítico en estadío IIIB/IV o recurrente después del fracaso de la quimioterapia de primera línea.","SK","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients with stage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","BE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate theefficacy and safety of oral BIBF 1120 plus standard docetaxel therapycompared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of firstline chemotherapy.Estudio en Fase III multicéntrico randomizado doble-ciego  para investigar la eficacia y seguridad de la administración oral de BIBF 1120 junto con Docetaxel como terapia estándar comparado con placebo junto con Docetaxel como terapia estándar en pacientes con cáncer de pulmón no microcítico en estadío IIIB/IV o recurrente después del fracaso de la quimioterapia de primera línea.","PT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate theefficacy and safety of oral BIBF 1120 plus standard docetaxel therapycompared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of firstline chemotherapy.Estudio en Fase III multicéntrico randomizado doble-ciego  para investigar la eficacia y seguridad de la administración oral de BIBF 1120 junto con Docetaxel como terapia estándar comparado con placebo junto con Docetaxel como terapia estándar en pacientes con cáncer de pulmón no microcítico en estadío IIIB/IV o recurrente después del fracaso de la quimioterapia de primera línea.","GB","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-004803-36","Sperimentazione multicentrica randomizzata di fase III in doppio cieco per la valutazione dellefficacia e della sicurezza del BIBF 1120 orale associato a terapia standard con docetaxel rispetto al placebo associato a terapia standard con docetaxel nei pazienti affetti da cancro del polmone a cellule non piccole in stadio IIIB/IV o recidivo dopo il fallimento della chemioterapia di prima linea","DK","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","DE","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate theefficacy and safety of oral BIBF 1120 plus standard docetaxel therapycompared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of firstline chemotherapy.Estudio en Fase III multicéntrico randomizado doble-ciego  para investigar la eficacia y seguridad de la administración oral de BIBF 1120 junto con Docetaxel como terapia estándar comparado con placebo junto con Docetaxel como terapia estándar en pacientes con cáncer de pulmón no microcítico en estadío IIIB/IV o recurrente después del fracaso de la quimioterapia de primera línea.","LT","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients withstage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","FR","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients with stage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","ES","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-004803-36","Multicentre randomised double-blind Phase III trial to investigate the efficacy and safety of oral BIBF 1120 plus standard docetaxel therapy compared to placebo plus standard docetaxel therapy in patients with stage IIIB/IV or recurrent non small cell lung cancer after failure of first line chemotherapy","GR","Yes","No","No","ok","Yes","No","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","No","Yes","2+","Yes","-1","No","Yes","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","NL","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","ES","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized phase II study evaluating the addition of bevacizumab to chemotherapy in childhood and adolescent patients presenting with metastatic rhabdomyosarcoma and non-rhabdomyosarcoma soft tissue sarcoma.","Outside EU/EEA","No","No","Yes","ok","Yes","No","Yes","No","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","BE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized phase II study evaluating the addition of bevacizumab to chemotherapy in childhood and adolescent patients presenting with metastatic rhabdomyosarcoma and non-rhabdomyosarcoma soft tissue sarcoma.","FR","No","No","Yes","ok","Yes","No","Yes","No","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized two stage adaptive design study of the combination of bevacizumab with standard chemotherapy in minor patients with metastatic rhabdomyosarcoma non-rhabdomyosarcoma soft-tissue sarcoma or Ewing’s sarcoma/soft-tissue primitive neuroectodermal tumors.","PL","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005017-19","Open-label multi-center randomized phase II study evaluating the addition of bevacizumab to chemotherapy in childhood and adolescent patients presenting with metastatic rhabdomyosarcoma and non-rhabdomyosarcoma soft tissue sarcoma.","CZ","No","No","Yes","ok","Yes","No","Yes","No","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","LT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","GR","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","CZ","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","BE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","FR","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005129-31","A randomized controlled open-label multi-centre parallel-group study to assess all-cause mortality and cardiovascular morbidity in patients with chronic kidney disease on dialysis and those not on renal replacement therapy under treatment with MIRCERA® or reference ESAs.","SE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005365-35","Multicenter parallel controlled randimized single-blind clinical evaluation of new low sodium peritoneal dialysis solution on patients with hypertension treated with continuous ambulatory or automated peritoneal dialysis","SE","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","Yes","No","Yes","No","Yes","2+","Yes","2+","No","No","Yes","Yes","Yes","No","Yes"
"2007-005365-35","Multicenter parallel controlled randomized single blind clinical evaluation of a new low sodium peritoneal dialysis solution on patients with hypertension treated with  continuous ambulatory or automated peritoneal dialysis. Multizentrische parallele kontrollierte randomisierte einfach verblindete klinische Prüfung einer neuen Lösung für die Peritonealdialyse mit niedrigem Natriumgehalt an Patienten mit Bluthochdruck die mit kontinuierlicher ambulanter oder automatisierter Peritonealdialyse behandelt werden  ","GB","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","Yes","No","Yes","No","Yes","2+","Yes","2+","No","No","Yes","Yes","Yes","No","Yes"
"2007-005365-35","Multicentric parallel controlled randomized single blind clinical evaluation of a new low sodium peritoneal dialysis solution on patients with hypertension treated with  continous ambulatory or automated peritoneal dialysis. ","DK","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","Yes","No","Yes","No","Yes","2+","Yes","2+","No","No","Yes","Yes","Yes","No","Yes"
"2007-005365-35","Multicentric parallel controlled randomized single blind clinical evaluation of a new low sodium peritoneal dialysis solution on patients with hypertension treated with  continous ambulatory or automated peritoneal dialysis. ","DE","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","Yes","No","Yes","No","Yes","2+","Yes","2+","No","No","Yes","Yes","Yes","No","Yes"
"2007-005365-35","Multicenter parallel controlled randimized single-blind clinical evaluation of new low sodium peritoneal dialysis solution on patients with hypertension treated with continuous ambulatory or automated peritoneal dialysis","FR","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","No","Yes","No","Yes","No","Yes","2+","Yes","2+","No","No","Yes","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","SE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","ES","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","PT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","SK","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","NL","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","CZ","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","GR","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","FR","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","IE","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","GB","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABEL  CLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN A  PROGRAF-/ ADVAGRAF-BASED   IMMUNOSUPPRESSIVE  REGIMEN IN KIDNEY TRANSPLANT SUBJECTS.  Protocol for Phase IIIb Study of Advagraf (FK506E (MR4))","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABELCLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN APROGRAF®-/ ADVAGRAF®-BASED IMMUNOSUPPRESSIVEREGIMEN IN KIDNEY TRANSPLANT SUBJECTS.Protocol for Phase IIIb Study of Advagraf® (FK506E (MR4))","AT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","A MULTICENTER FOUR ARM RANDOMIZED OPEN LABEL  CLINICAL STUDY INVESTIGATING OPTIMIZED DOSING IN A  PROGRAF-/ ADVAGRAF-BASED   IMMUNOSUPPRESSIVE  REGIMEN IN KIDNEY TRANSPLANT SUBJECTS.  Protocol for Phase IIIb Study of Advagraf (FK506E (MR4))","BE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
"2007-005376-13","Estudio clínico multicéntrico aleatorizado y abierto con cuatro ramas de tratamiento para investigar la dosis óptima de una pauta inmunosupresora basada en Prograf® / Advagraf® en pacientes trasplantados renales. Protocolo del estudio fase IIIb de Advagraf® (FK506E (MR4))","HU","No","No","Yes","ok","Yes","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","Yes","No","Yes"
