"active_comparator","arms","controlled","crossover","design","double_blind","eudract_number","open","parallel_group","placebo","protocol_country_code","randomised","single_blind","title","open_gs","open_orig","arms_gs","arms_orig","double_blind_gs","double_blind_orig","single_blind_gs","single_blind_orig","controlled_gs","controlled_orig","parallel_group_gs","parallel_group_orig","crossover_gs","crossover_orig","randomised_gs","randomised_orig"
"Yes","2+","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","PL","No","No","A phase III prospective two-cohort non-randomized multi-centremultinational open label study to assess the safety of assisted- and selfadministeredsubcutaneous trastuzumab as therapy in patients withoperable Her2-positive early breast cancer [SafeHer study]Prospektivna nerandomizirana multicetrična mednarodna odprta raziskava faze III z dvema kohortama za oceno varnosti asistiranega injiciranja in samoinjiciranja subkutanega trastuzumaba kot zdravljenja pri bolnicah z operabilnim zgodnjim HER2-pozitivnim rakom dojke","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","2+","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","LT","Yes","No","A phase III prospective two-cohort non-randomized multi-centre multinational open label study to assess the safety of assisted- and self-administered subcutaneous trastuzumab as adjuvant therapy in patients with operable Her2-positive early breast cancer [SafeHer study]","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","2+","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","FR","No","No","A phase III prospective two-cohort non-randomized multi-centremultinational open label study to assess the safety of assisted- and selfadministered subcutaneous trastuzumab as therapy in patients with operable Her2-positive early breast cancer [SafeHer study]","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","2+","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","SK","No","No","A phase III prospective two-cohort non-randomized multi-centre multinational open label study to assess the safety of assisted- and self-administered subcutaneous trastuzumab as therapy in patients with operable Her2-positive early breast cancer [SafeHer study]Nerandomizovaná prospektivní dvoukohortová multicentrickámezinárodní otevřená studie fáze III k posouzení bezpečnosti asistovaného a samo-aplikovaného subkutánního podání trastuzumabu jako terapie u pacientů s operabilním HER2 pozitivním časným karcinomem prsu [SafeHer Studie]","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","2+","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","SE","Yes","No","A phase III prospective two-cohort non-randomized multi-centre multinational open label study to assess the safety of assisted- and self-administered subcutaneous trastuzumab as therapy in patients with operable Her2-positive early breast cancer [SafeHer study]","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","1","Yes","No","ok","No","2011-005328-17","Yes","Yes","No","NL","No","No","A phase III prospective two-cohort non-randomized multi-centre multinational open label study to assess the safety of assisted- and self-administered subcutaneous trastuzumab as adjuvant therapy in patients with operable Her2-positive early breast cancer [SafeHer study]ESTUDIO FASE III PROSPECTIVO NO RANDOMIZADO Y ABIERTO DE DOS COHORTES MULTICENTRICO Y  MULTINACIONAL PARA ASEGURAR LA SEGURIDAD DE ADMINISTRACIÓN ASISTIDA O AUTOADMINISTRACIÓN DE TRASTUZUMAB SUBCUTÁNEO COMO TRATAMIENTO ADYUVANTE EN PACIENTES CON CARCINOMA DE MAMA PRECOZ OPERABLE HER-2 + [SafeHer Study]","Yes","Yes","2+","2+","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","AT","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","HU","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","CZ","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","DE","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","ES","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","GR","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","BE","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","PL","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","FR","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2016-003092-22","Yes","Yes","No","DK","Yes","No","A PHASE III MULTICENTER RANDOMIZED STUDY OF ATEZOLIZUMAB (ANTI−PD-L1 ANTIBODY) IN COMBINATION WITH ENZALUTAMIDE VERSUS ENZALUTAMIDE ALONE IN PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER AFTER FAILURE OF AN ANDROGEN SYNTHESIS INHIBITOR AND FAILURE OF INELIGIBILITY FOR OR REFUSAL OF A TAXANE REGIMEN","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","BE","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","DE","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","ES","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","AT","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","GB","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","NL","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","IT","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","No","2008-003003-31","Yes","No","No","FR","Yes","No","Radiation therapy and concurrent plus adjuvant Temsirolimus (CCI-779) versus chemo-irradiation with Temozolomide in newly diagnosed glioblastoma without methylation of the MGMT gene promoter – a randomized multicenter open-label Phase II study","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","SE","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","CZ","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","FR","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","NL","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","BE","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","DE","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","SK","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","IT","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","GB","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2007-006195-11","No","Yes","Yes","ES","Yes","No","A double-blind randomised multiple dose Phase III multicentre study of Alpharadin in the treatment of patients with symptomatic hormone refractory prostate cancer with skeletal metastases.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","DE","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisStudio randomizzato controllato in aperto volto a valutare l’efficacia e la sicurezza di cinacalcet HCl nei soggetti pediatrici con iperparatiroidismo secondario e malattia renale cronica sottoposti a dialisi","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","ES","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis«Μία Τυχαιοποιημένη Ανοιχτή Ελεγχόμενη Μελέτη για την Αξιολόγηση της Αποτελεσματικότητας και της Ασφάλειας της Υδροχλωρικής Κινακαλσέτης σεΠαιδιατρικούς Ασθενείς με Δευτεροπαθή Υπερπαραθυρεοειδισμό και ΧρόνιαΝεφρική Νόσο που Υποβάλλονται σε Εξωνεφρική Κάθαρση»","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","FR","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisStudio randomizzato controllato in aperto volto a valutare l’efficacia e la sicurezza di cinacalcet HCl nei soggetti pediatrici con iperparatiroidismo secondario e malattia renale cronica sottoposti a dialisi","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","PT","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisEstudio aleatorizado abierto y controlado para evaluar la eficacia y seguridad de cinacalcet HCl en sujetos pediátricos con hiperparatiroidismo secundario e insuficiencia renal crónica sometidos a diálisis","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","BE","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis«Μία Τυχαιοποιημένη Ανοιχτή Ελεγχόμενη Μελέτη για την Αξιολόγηση της Αποτελεσματικότητας και της Ασφάλειας της Υδροχλωρικής Κινακαλσέτης σεΠαιδιατρικούς Ασθενείς με Δευτεροπαθή Υπερπαραθυρεοειδισμό και ΧρόνιαΝεφρική Νόσο που Υποβάλλονται σε Εξωνεφρική Κάθαρση»","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","CZ","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisStudio randomizzato controllato in aperto volto a valutare l’efficacia e la sicurezza di cinacalcet HCl nei soggetti pediatrici con iperparatiroidismo secondario e malattia renale cronica sottoposti a dialisi","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","SK","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","IT","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","GR","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","HU","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisEstudio aleatorizado abierto y controlado para evaluar la eficacia y seguridad de cinacalcet HCl en sujetos pediátricos con hiperparatiroidismo secundario e insuficiencia renal crónica sometidos a diálisis","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","LT","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving DialysisStudio randomizzato controllato in aperto volto a valutare l’efficacia e la sicurezza di cinacalcet HCl nei soggetti pediatrici con iperparatiroidismo secondario e malattia renale cronica sottoposti a dialisi","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2013-004958-18","Yes","Yes","No","Outside EU/EEA","Yes","No","A Randomized Open-label Controlled Study to Assess the Efficacy andSafety of Cinacalcet HCl in Pediatric Subjects With SecondaryHyperparathyroidism and Chronic Kidney Disease Receiving Dialysis«Μία Τυχαιοποιημένη Ανοιχτή Ελεγχόμενη Μελέτη για την Αξιολόγηση της Αποτελεσματικότητας και της Ασφάλειας της Υδροχλωρικής Κινακαλσέτης σεΠαιδιατρικούς Ασθενείς με Δευτεροπαθή Υπερπαραθυρεοειδισμό και ΧρόνιαΝεφρική Νόσο που Υποβάλλονται σε Εξωνεφρική Κάθαρση»","Yes","Yes","2+","2+","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","DE","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","FI","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","PT","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","HU","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","NO","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","SK","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","GB","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","ES","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","BE","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","CZ","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2010-020601-32","No","Yes","Yes","SE","Yes","No","A Randomized Double-Blind Factorial Parallel-Group Active and Placebo-Controlled Multicenter Dose-Ranging Study to Evaluate the Efficacy Safety and Tolerability of Six Dose Combinations of Solifenacin Succinate and Mirabegron Compared to Mirabegron and Solifenacin Succinate Monotherapies in the Treatment of Overactive Bladder.","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes"
