"date_collected","flight_number","departure_gate","arrival_gate","scheduled_departure_t","actual_departure_t","scheduled_arrival_t","actual_arrival_t","scheduled_departure","actual_departure","scheduled_arrival","actual_arrival"
"2011-12-01","AA-3979-CVG-ORD","1","G10","12/01/2011 07:30 AM","12/01/2011 08:04 AM","12/01/2011 08:00 AM","12/01/2011 08:06 AM","2011-12-01 12:30:00+00","2011-12-01 13:04:00+00","2011-12-01 14:00:00+00","2011-12-01 14:06:00+00"
"2011-12-14","UA-382-IAD-LAX","C27","70A","Wed, Dec 14 12:30 PM","Wed, Dec 14 12:27 PM            On Time","Wed, Dec 14 3:19 PM","Wed, Dec 14 2:53 PM","2011-12-14 17:30:00+00","2011-12-14 17:27:00+00","2011-12-14 23:19:00+00","2011-12-14 22:53:00+00"
"2011-12-14","UA-382-IAD-LAX","C27","70A","Wed, Dec 14 12:30 PM","Wed, Dec 14 12:27 PM            On Time","Wed, Dec 14 3:19 PM","Wed, Dec 14 3:05 PM","2011-12-14 17:30:00+00","2011-12-14 17:27:00+00","2011-12-14 23:19:00+00","2011-12-14 23:05:00+00"
"2011-12-14","UA-858-PVG-SFO","75","95","Wed, Dec 14 1:45 PM","Wed, Dec 14 1:40 PM","Wed, Dec 14 8:27 AM","Wed, Dec 14 7:46 AM","2011-12-14 05:45:00+00","2011-12-14 05:40:00+00","2011-12-14 16:27:00+00","2011-12-14 15:46:00+00"
"2011-12-14","UA-854-SFO-IAH","82","C16","Wed, Dec 14 7:53 AM","Wed, Dec 14 7:50 AM","Wed, Dec 14 1:39 PM","Wed, Dec 14 1:25 PM","2011-12-14 15:53:00+00","2011-12-14 15:50:00+00","2011-12-14 19:39:00+00","2011-12-14 19:25:00+00"
"2011-12-16","UA-2704-DTW-PHX","D14","A11","Fri, Dec 16 11:15 AM","Fri, Dec 16 11:15 AM","Fri, Dec 16 1:40 PM","Fri, Dec 16 1:27 PM","2011-12-16 16:15:00+00","2011-12-16 16:15:00+00","2011-12-16 20:40:00+00","2011-12-16 20:27:00+00"
"2011-12-16","UA-2515-DFW-CLT","E35","D2","Fri, Dec 16 7:00 AM","Fri, Dec 16 7:00 AM","Fri, Dec 16 10:26 AM","Fri, Dec 16 10:13 AM","2011-12-16 13:00:00+00","2011-12-16 13:00:00+00","2011-12-16 15:26:00+00","2011-12-16 15:13:00+00"
"2011-12-16","UA-3373-IAD-PHL","C20","D7","Fri, Dec 16 8:30 AM","Fri, Dec 16 8:26 AM","Fri, Dec 16 9:25 AM","Fri, Dec 16 9:19 AM","2011-12-16 13:30:00+00","2011-12-16 13:26:00+00","2011-12-16 14:25:00+00","2011-12-16 14:19:00+00"
"2011-12-16","UA-2906-PHL-MCO","B13","58","Fri, Dec 16 3:50 PM","Fri, Dec 16 3:50 PM            Delayed","Fri, Dec 16 6:23 PM","Fri, Dec 16 6:15 PM","2011-12-16 20:50:00+00","2011-12-16 20:50:00+00","2011-12-16 23:23:00+00","2011-12-16 23:15:00+00"
"2011-12-04","CO-1694-LAX-IAH","","","Sun., Dec.04, 2011 7:15 p.m.","Sun., Dec.04, 2011 7:15 p.m.","Sun., Dec.04, 2011 12:21 a.m.","Sun., Dec.04, 2011 12:21 a.m.","2011-12-05 03:15:00+00","2011-12-05 03:15:00+00","2011-12-04 06:21:00+00","2011-12-04 06:21:00+00"
"2011-12-07","CO-1614-LAX-IAH","","","Wed., Dec.07, 2011 12:30 a.m.","Wed., Dec.07, 2011 12:32 a.m.","Wed., Dec.07, 2011 5:35 a.m.","Wed., Dec.07, 2011 5:38 a.m.","2011-12-07 08:30:00+00","2011-12-07 08:32:00+00","2011-12-07 11:35:00+00","2011-12-07 11:38:00+00"
"2011-12-01","AA-3859-IAH-ORD","A29","H5","12/01/2011 07:10 AM","12/01/2011 07:16 AM","12/01/2011 09:40 AM","12/01/2011 09:32 AM","2011-12-01 13:10:00+00","2011-12-01 13:16:00+00","2011-12-01 15:40:00+00","2011-12-01 15:32:00+00"
"2011-12-01","AA-3842-MSP-ORD","E14","G8","12/01/2011 06:00 AM","12/01/2011 06:56 AM","12/01/2011 07:30 AM","12/01/2011 07:51 AM","2011-12-01 12:00:00+00","2011-12-01 12:56:00+00","2011-12-01 13:30:00+00","2011-12-01 13:51:00+00"
"2011-12-01","CO-58-DEN-IAH","","","Thu., Dec.01, 2011 11:25 a.m.","Thu., Dec.01, 2011 11:32 a.m.","Thu., Dec.01, 2011 2:50 p.m.","Thu., Dec.01, 2011 3:31 p.m.","2011-12-01 18:25:00+00","2011-12-01 18:32:00+00","2011-12-01 20:50:00+00","2011-12-01 21:31:00+00"
"2012-01-03","AA-3063-SLC-LAX"," A3"," 44D    ","January 3, 2012               08:20 PM    ","January 3, 2012               08:21 PM    ","January 3, 2012               09:20 PM    ","January 3, 2012     ","2012-01-04 03:20:00+00","2012-01-04 03:21:00+00","2012-01-04 05:20:00+00",""
"2011-12-08","AA-1221-MCO-ORD"," 16"," H11B    ","December 8, 2011               08:00 PM    ","December 8, 2011               07:52 PM    ","December 8, 2011               09:50 PM    ","December 8, 2011               09:24 PM    ","2011-12-09 01:00:00+00","2011-12-09 00:52:00+00","2011-12-09 03:50:00+00","2011-12-09 03:24:00+00"
"2011-12-01","CO-1023-IAH-DEN","","","Thu., Dec.01, 2011 11:40 a.m.","Thu., Dec.01, 2011 11:56 a.m.","Thu., Dec.01, 2011 1:17 p.m.","Thu., Dec.01, 2011 1:14 p.m.","2011-12-01 17:40:00+00","2011-12-01 17:56:00+00","2011-12-01 20:17:00+00","2011-12-01 20:14:00+00"
"2011-12-01","CO-1250-MIA-IAH","","","Thu., Dec.01, 2011 2:53 p.m.","Thu., Dec.01, 2011 3:01 p.m.","Thu., Dec.01, 2011 4:48 p.m.","Thu., Dec.01, 2011 4:59 p.m.","2011-12-01 19:53:00+00","2011-12-01 20:01:00+00","2011-12-01 22:48:00+00","2011-12-01 22:59:00+00"
"2011-12-01","CO-62-IAH-EWR","","","Thu., Dec.01, 2011 2:30 p.m.","Thu., Dec.01, 2011 2:48 p.m.","Thu., Dec.01, 2011 7:03 p.m.","Thu., Dec.01, 2011 7:10 p.m.","2011-12-01 20:30:00+00","2011-12-01 20:48:00+00","2011-12-02 00:03:00+00","2011-12-02 00:10:00+00"
"2011-12-01","CO-52-IAH-LAX","","","Thu., Dec.01, 2011 7:35 a.m.","Thu., Dec.01, 2011 7:29 a.m.","Thu., Dec.01, 2011 9:21 a.m.","Thu., Dec.01, 2011 9:14 a.m.","2011-12-01 13:35:00+00","2011-12-01 13:29:00+00","2011-12-01 17:21:00+00","2011-12-01 17:14:00+00"
"2011-12-01","CO-89-IAH-EWR","","","Thu., Dec.01, 2011 6:00 a.m.","Thu., Dec.01, 2011 6:02 a.m.","Thu., Dec.01, 2011 10:20 a.m.","Thu., Dec.01, 2011 10:27 a.m.","2011-12-01 12:00:00+00","2011-12-01 12:02:00+00","2011-12-01 15:20:00+00","2011-12-01 15:27:00+00"
"2011-12-04","CO-1586-IAH-MCO","","","Sun., Dec.04, 2011 7:00 p.m.","Sun., Dec.04, 2011 7:24 p.m.","Sun., Dec.04, 2011 10:15 p.m.","Sun., Dec.04, 2011 10:44 p.m.","2011-12-05 01:00:00+00","2011-12-05 01:24:00+00","2011-12-05 03:15:00+00","2011-12-05 03:44:00+00"
"2011-12-04","CO-4888-IAH-DAL","","","Sun., Dec.04, 2011 5:30 p.m.","Sun., Dec.04, 2011 5:30 p.m.","Sun., Dec.04, 2011 6:40 p.m.","Sun., Dec.04, 2011 6:50 p.m.","2011-12-04 23:30:00+00","2011-12-04 23:30:00+00","2011-12-05 00:40:00+00","2011-12-05 00:50:00+00"
"2011-12-04","CO-1088-CLE-IAH","","","Sun., Dec.04, 2011 8:40 a.m.","Sun., Dec.04, 2011 9:08 a.m.","Sun., Dec.04, 2011 10:54 a.m.","Sun., Dec.04, 2011 11:18 a.m.","2011-12-04 13:40:00+00","2011-12-04 14:08:00+00","2011-12-04 16:54:00+00","2011-12-04 17:18:00+00"
"2011-12-07","CO-1250-MIA-IAH","","","Wed., Dec.07, 2011 2:53 p.m.","Wed., Dec.07, 2011 2:54 p.m.","Wed., Dec.07, 2011 4:45 p.m.","Wed., Dec.07, 2011 4:33 p.m.","2011-12-07 19:53:00+00","2011-12-07 19:54:00+00","2011-12-07 22:45:00+00","2011-12-07 22:33:00+00"
"2011-12-07","CO-62-IAH-EWR","","","Wed., Dec.07, 2011 2:30 p.m.","Wed., Dec.07, 2011 3:01 p.m.","Wed., Dec.07, 2011 7:03 p.m.","Wed., Dec.07, 2011 7:08 p.m.","2011-12-07 20:30:00+00","2011-12-07 21:01:00+00","2011-12-08 00:03:00+00","2011-12-08 00:08:00+00"
"2011-12-07","CO-52-IAH-LAX","","","Wed., Dec.07, 2011 7:35 a.m.","Wed., Dec.07, 2011 10:51 a.m.","Wed., Dec.07, 2011 9:21 a.m.","Wed., Dec.07, 2011 12:27 p.m.","2011-12-07 13:35:00+00","2011-12-07 16:51:00+00","2011-12-07 17:21:00+00","2011-12-07 20:27:00+00"
"2011-12-07","CO-89-IAH-EWR","","","Wed., Dec.07, 2011 6:00 a.m.","Wed., Dec.07, 2011 5:59 a.m.","Wed., Dec.07, 2011 10:20 a.m.","Wed., Dec.07, 2011 10:06 a.m.","2011-12-07 12:00:00+00","2011-12-07 11:59:00+00","2011-12-07 15:20:00+00","2011-12-07 15:06:00+00"
"2011-12-07","CO-1090-BOS-IAH","","","Wed., Dec.07, 2011 9:45 a.m.","Wed., Dec.07, 2011 12:30 p.m.","Wed., Dec.07, 2011 1:16 p.m.","Wed., Dec.07, 2011 3:57 p.m.","2011-12-07 14:45:00+00","2011-12-07 17:30:00+00","2011-12-07 19:16:00+00","2011-12-07 21:57:00+00"
"2011-12-07","CO-45-EWR-MIA","","","Wed., Dec.07, 2011 4:00 p.m.","Wed., Dec.07, 2011 4:09 p.m.","Wed., Dec.07, 2011 7:05 p.m.","Wed., Dec.07, 2011 7:27 p.m.","2011-12-07 21:00:00+00","2011-12-07 21:09:00+00","2011-12-08 00:05:00+00","2011-12-08 00:27:00+00"
"2011-12-07","CO-63-EWR-IAH","","","Wed., Dec.07, 2011 5:25 p.m.","Wed., Dec.07, 2011 5:49 p.m.","Wed., Dec.07, 2011 8:22 p.m.","Wed., Dec.07, 2011 8:27 p.m.","2011-12-07 22:25:00+00","2011-12-07 22:49:00+00","2011-12-08 02:22:00+00","2011-12-08 02:27:00+00"
"2011-12-09","CO-4888-IAH-DAL","","","Fri., Dec.09, 2011 5:30 p.m.","Fri., Dec.09, 2011 5:30 p.m.","Fri., Dec.09, 2011 6:40 p.m.","Fri., Dec.09, 2011 6:40 p.m.","2011-12-09 23:30:00+00","2011-12-09 23:30:00+00","2011-12-10 00:40:00+00","2011-12-10 00:40:00+00"
"2011-12-09","CO-1088-CLE-IAH","","","Fri., Dec.09, 2011 8:40 a.m.","Fri., Dec.09, 2011 8:48 a.m.","Fri., Dec.09, 2011 10:54 a.m.","Fri., Dec.09, 2011 10:58 a.m.","2011-12-09 13:40:00+00","2011-12-09 13:48:00+00","2011-12-09 16:54:00+00","2011-12-09 16:58:00+00"
"2011-12-09","CO-58-DEN-IAH","","","Fri., Dec.09, 2011 11:25 a.m.","Fri., Dec.09, 2011 11:37 a.m.","Fri., Dec.09, 2011 2:50 p.m.","Fri., Dec.09, 2011 2:50 p.m.","2011-12-09 18:25:00+00","2011-12-09 18:37:00+00","2011-12-09 20:50:00+00","2011-12-09 20:50:00+00"
"2011-12-09","CO-1023-IAH-DEN","","","Fri., Dec.09, 2011 11:40 a.m.","Fri., Dec.09, 2011 11:45 a.m.","Fri., Dec.09, 2011 1:17 p.m.","Fri., Dec.09, 2011 1:28 p.m.","2011-12-09 17:40:00+00","2011-12-09 17:45:00+00","2011-12-09 20:17:00+00","2011-12-09 20:28:00+00"
"2011-12-09","CO-1250-MIA-IAH","","","Fri., Dec.09, 2011 2:53 p.m.","Fri., Dec.09, 2011 3:16 p.m.","Fri., Dec.09, 2011 4:45 p.m.","Fri., Dec.09, 2011 4:55 p.m.","2011-12-09 19:53:00+00","2011-12-09 20:16:00+00","2011-12-09 22:45:00+00","2011-12-09 22:55:00+00"
"2011-12-11","CO-1090-BOS-IAH","","","Sun., Dec.11, 2011 9:45 a.m.","Sun., Dec.11, 2011 9:41 a.m.","Sun., Dec.11, 2011 1:16 p.m.","Sun., Dec.11, 2011 12:46 p.m.","2011-12-11 14:45:00+00","2011-12-11 14:41:00+00","2011-12-11 19:16:00+00","2011-12-11 18:46:00+00"
"2011-12-13","CO-1614-LAX-IAH","","","Tue., Dec.13, 2011 12:30 a.m.","Tue., Dec.13, 2011 12:54 a.m.","Tue., Dec.13, 2011 5:35 a.m.","Tue., Dec.13, 2011 5:43 a.m.","2011-12-13 08:30:00+00","2011-12-13 08:54:00+00","2011-12-13 11:35:00+00","2011-12-13 11:43:00+00"
"2011-12-17","CO-1614-LAX-IAH","","","Sat., Dec.17, 2011 12:30 a.m.","Sat., Dec.17, 2011 12:47 a.m.","Sat., Dec.17, 2011 5:36 a.m.","Sat., Dec.17, 2011 5:59 a.m.","2011-12-17 08:30:00+00","2011-12-17 08:47:00+00","2011-12-17 11:36:00+00","2011-12-17 11:59:00+00"
"2011-12-17","UA-2945-PHL-CLT","B14","C17","Sat, Dec 17 12:00 AM","Sat, Dec 17 8:11 AM","Sat, Dec 17 1:45 PM","Sat, Dec 17 1:31 PM","2011-12-17 17:00:00+00","2011-12-17 13:11:00+00","2011-12-17 18:45:00+00","2011-12-17 18:31:00+00"
"2011-12-11","CO-45-EWR-MIA","","","Sun., Dec.11, 2011 4:00 p.m.","Sun., Dec.11, 2011 4:02 p.m.","Sun., Dec.11, 2011 7:05 p.m.","Sun., Dec.11, 2011 7:00 p.m.","2011-12-11 21:00:00+00","2011-12-11 21:02:00+00","2011-12-12 00:05:00+00","2011-12-12 00:00:00+00"
"2011-12-11","CO-63-EWR-IAH","","","Sun., Dec.11, 2011 5:25 p.m.","Sun., Dec.11, 2011 6:18 p.m.","Sun., Dec.11, 2011 8:22 p.m.","Sun., Dec.11, 2011 9:02 p.m.","2011-12-11 22:25:00+00","2011-12-11 23:18:00+00","2011-12-12 02:22:00+00","2011-12-12 03:02:00+00"
"2011-12-11","CO-50-CLE-EWR","","","Sun., Dec.11, 2011 3:10 p.m.","Sun., Dec.11, 2011 3:08 p.m.","Sun., Dec.11, 2011 5:04 p.m.","Sun., Dec.11, 2011 5:11 p.m.","2011-12-11 20:10:00+00","2011-12-11 20:08:00+00","2011-12-11 22:04:00+00","2011-12-11 22:11:00+00"
"2011-12-11","CO-1561-PHX-IAH","","","Sun., Dec.11, 2011 8:05 a.m.","Sun., Dec.11, 2011 8:02 a.m.","Sun., Dec.11, 2011 11:35 a.m.","Sun., Dec.11, 2011 11:10 a.m.","2011-12-11 15:05:00+00","2011-12-11 15:02:00+00","2011-12-11 17:35:00+00","2011-12-11 17:10:00+00"
"2011-12-11","UA-854-SFO-IAH","85","C16","Sun, Dec 11 7:53 AM","Sun, Dec 11 7:51 AM","Sun, Dec 11 1:35 PM","Sun, Dec 11 1:11 PM","2011-12-11 15:53:00+00","2011-12-11 15:51:00+00","2011-12-11 19:35:00+00","2011-12-11 19:11:00+00"
"2011-12-13","CO-89-IAH-EWR","","","Tue., Dec.13, 2011 6:00 a.m.","Tue., Dec.13, 2011 5:54 a.m.","Tue., Dec.13, 2011 10:20 a.m.","Tue., Dec.13, 2011 10:11 a.m.","2011-12-13 12:00:00+00","2011-12-13 11:54:00+00","2011-12-13 15:20:00+00","2011-12-13 15:11:00+00"
"2011-12-13","CO-1090-BOS-IAH","","","Tue., Dec.13, 2011 9:45 a.m.","Tue., Dec.13, 2011 9:45 a.m.","Tue., Dec.13, 2011 1:16 p.m.","Tue., Dec.13, 2011 1:11 p.m.","2011-12-13 14:45:00+00","2011-12-13 14:45:00+00","2011-12-13 19:16:00+00","2011-12-13 19:11:00+00"
"2011-12-13","CO-45-EWR-MIA","","","Tue., Dec.13, 2011 4:00 p.m.","Tue., Dec.13, 2011 4:23 p.m.","Tue., Dec.13, 2011 7:05 p.m.","Tue., Dec.13, 2011 7:02 p.m.","2011-12-13 21:00:00+00","2011-12-13 21:23:00+00","2011-12-14 00:05:00+00","2011-12-14 00:02:00+00"
"2011-12-13","CO-63-EWR-IAH","","","Tue., Dec.13, 2011 5:25 p.m.","Tue., Dec.13, 2011 5:28 p.m.","Tue., Dec.13, 2011 8:22 p.m.","Tue., Dec.13, 2011 8:43 p.m.","2011-12-13 22:25:00+00","2011-12-13 22:28:00+00","2011-12-14 02:22:00+00","2011-12-14 02:43:00+00"
"2011-12-08","AA-2312-DFW-DTW"," C24"," D32    ","December 8, 2011               08:25 PM    ","December 8, 2011     ","December 8, 2011               11:50 PM    ","December 8, 2011     ","2011-12-09 02:25:00+00","","2011-12-09 04:50:00+00",""
"2011-12-08","AA-649-ORD-SNA"," K19"," 2    ","December 8, 2011               01:30 PM    ","December 8, 2011     ","December 8, 2011               03:50 PM    ","December 8, 2011     ","2011-12-08 19:30:00+00","","2011-12-08 23:50:00+00",""
"2011-12-08","AA-1640-MIA-MCO"," D33"," 14    ","December 8, 2011               06:30 PM    ","December 8, 2011     ","December 8, 2011               07:25 PM    ","December 8, 2011     ","2011-12-08 23:30:00+00","","2011-12-09 00:25:00+00",""
"2011-12-08","AA-1522-SFO-ORD"," 56A"," H9    ","December 8, 2011               11:55 PM    ","December 8, 2011     ","December 9, 2011               05:50 AM    ","December 9, 2011     ","2011-12-09 07:55:00+00","","2011-12-09 11:50:00+00",""
"2011-12-13","CO-50-CLE-EWR","","","Tue., Dec.13, 2011 2:55 p.m.","Tue., Dec.13, 2011 2:48 p.m.","Tue., Dec.13, 2011 4:49 p.m.","Tue., Dec.13, 2011 4:33 p.m.","2011-12-13 19:55:00+00","2011-12-13 19:48:00+00","2011-12-13 21:49:00+00","2011-12-13 21:33:00+00"
"2011-12-17","CO-89-IAH-EWR","","","Sat., Dec.17, 2011 6:00 a.m.","Sat., Dec.17, 2011 6:41 a.m.","Sat., Dec.17, 2011 10:20 a.m.","Sat., Dec.17, 2011 10:34 a.m.","2011-12-17 12:00:00+00","2011-12-17 12:41:00+00","2011-12-17 15:20:00+00","2011-12-17 15:34:00+00"
"2011-12-17","CO-1090-BOS-IAH","","","Sat., Dec.17, 2011 9:45 a.m.","Sat., Dec.17, 2011 9:44 a.m.","Sat., Dec.17, 2011 1:15 p.m.","Sat., Dec.17, 2011 1:07 p.m.","2011-12-17 14:45:00+00","2011-12-17 14:44:00+00","2011-12-17 19:15:00+00","2011-12-17 19:07:00+00"
"2011-12-17","CO-45-EWR-MIA","","","Sat., Dec.17, 2011 3:50 p.m.","Sat., Dec.17, 2011 3:48 p.m.","Sat., Dec.17, 2011 6:57 p.m.","Sat., Dec.17, 2011 6:56 p.m.","2011-12-17 20:50:00+00","2011-12-17 20:48:00+00","2011-12-17 23:57:00+00","2011-12-17 23:56:00+00"
"2011-12-17","UA-2830-MCO-CLT","57","C15","Sat, Dec 17 3:27 PM","Sat, Dec 17 3:27 PM","Sat, Dec 17 5:05 PM","Sat, Dec 17 5:02 PM","2011-12-17 20:27:00+00","2011-12-17 20:27:00+00","2011-12-17 22:05:00+00","2011-12-17 22:02:00+00"
"2011-12-17","UA-37-EWR-MCO","C137","36","Sat, Dec 17 1:29 PM","Sat, Dec 17 2:00 PM            Delayed","Sat, Dec 17 4:25 PM","Sat, Dec 17 4:52 PM","2011-12-17 18:29:00+00","2011-12-17 19:00:00+00","2011-12-17 21:25:00+00","2011-12-17 21:52:00+00"
"2011-12-17","UA-37-EDI-EWR","--","B53","Sat, Dec 17 9:05 AM","Sat, Dec 17 9:22 AM","Sat, Dec 17 11:53 AM","Sat, Dec 17 12:14 PM","2011-12-17 09:05:00+00","2011-12-17 09:22:00+00","2011-12-17 16:53:00+00","2011-12-17 17:14:00+00"
"2011-12-17","UA-2708-EWR-CLT","A37","C17","Sat, Dec 17 2:55 PM","Sat, Dec 17 2:55 PM","Sat, Dec 17 4:53 PM","Sat, Dec 17 4:37 PM","2011-12-17 19:55:00+00","2011-12-17 19:55:00+00","2011-12-17 21:53:00+00","2011-12-17 21:37:00+00"
"2011-12-17","UA-2726-FLL-PHL","E3","C19","Sat, Dec 17 4:00 PM","Sat, Dec 17 4:00 PM","Sat, Dec 17 6:46 PM","Sat, Dec 17 6:28 PM","2011-12-17 21:00:00+00","2011-12-17 21:00:00+00","2011-12-17 23:46:00+00","2011-12-17 23:28:00+00"
"2011-12-17","UA-6273-YYC-SFO","--","77B","Sat, Dec 17 7:45 AM","Sat, Dec 17 8:11 AM","Sat, Dec 17 9:53 AM","Sat, Dec 17 9:51 AM","2011-12-17 14:45:00+00","2011-12-17 15:11:00+00","2011-12-17 17:53:00+00","2011-12-17 17:51:00+00"
"2011-12-17","UA-2314-ATL-PHL","D23","B2","Sat, Dec 17 2:55 PM","Sat, Dec 17 3:13 PM","Sat, Dec 17 5:00 PM","Sat, Dec 17 5:10 PM","2011-12-17 19:55:00+00","2011-12-17 20:13:00+00","2011-12-17 22:00:00+00","2011-12-17 22:10:00+00"
"2011-12-17","UA-382-IAD-LAX","C27","70A","Sat, Dec 17 12:20 PM","Sat, Dec 17 12:29 PM            Delayed","Sat, Dec 17 3:08 PM","Sat, Dec 17 2:50 PM","2011-12-17 17:20:00+00","2011-12-17 17:29:00+00","2011-12-17 23:08:00+00","2011-12-17 22:50:00+00"
"2011-12-17","UA-382-IAD-LAX","C27","70A","Sat, Dec 17 12:20 PM","Sat, Dec 17 12:29 PM            Delayed","Sat, Dec 17 3:08 PM","Sat, Dec 17 3:10 PM","2011-12-17 17:20:00+00","2011-12-17 17:29:00+00","2011-12-17 23:08:00+00","2011-12-17 23:10:00+00"
"2011-12-19","CO-1023-IAH-DEN","","","Mon., Dec.19, 2011 11:40 a.m.","Mon., Dec.19, 2011 11:49 a.m.","Mon., Dec.19, 2011 1:20 p.m.","Mon., Dec.19, 2011 1:14 p.m.","2011-12-19 17:40:00+00","2011-12-19 17:49:00+00","2011-12-19 20:20:00+00","2011-12-19 20:14:00+00"
"2011-12-19","CO-1250-MIA-IAH","","","Mon., Dec.19, 2011 2:50 p.m.","Mon., Dec.19, 2011 3:08 p.m.","Mon., Dec.19, 2011 4:48 p.m.","Mon., Dec.19, 2011 5:19 p.m.","2011-12-19 19:50:00+00","2011-12-19 20:08:00+00","2011-12-19 22:48:00+00","2011-12-19 23:19:00+00"
"2011-12-19","CO-62-IAH-EWR","","","Mon., Dec.19, 2011 2:30 p.m.","Mon., Dec.19, 2011 2:50 p.m.","Mon., Dec.19, 2011 7:03 p.m.","Mon., Dec.19, 2011 7:10 p.m.","2011-12-19 20:30:00+00","2011-12-19 20:50:00+00","2011-12-20 00:03:00+00","2011-12-20 00:10:00+00"
"2011-12-19","CO-52-IAH-LAX","","","Mon., Dec.19, 2011 7:35 a.m.","Mon., Dec.19, 2011 7:45 a.m.","Mon., Dec.19, 2011 9:30 a.m.","Mon., Dec.19, 2011 9:15 a.m.","2011-12-19 13:35:00+00","2011-12-19 13:45:00+00","2011-12-19 17:30:00+00","2011-12-19 17:15:00+00"
"2011-12-19","CO-89-IAH-EWR","","","Mon., Dec.19, 2011 6:00 a.m.","Mon., Dec.19, 2011 5:58 a.m.","Mon., Dec.19, 2011 10:20 a.m.","Mon., Dec.19, 2011 10:13 a.m.","2011-12-19 12:00:00+00","2011-12-19 11:58:00+00","2011-12-19 15:20:00+00","2011-12-19 15:13:00+00"
"2011-12-19","CO-1090-BOS-IAH","","","Mon., Dec.19, 2011 9:50 a.m.","Mon., Dec.19, 2011 9:50 a.m.","Mon., Dec.19, 2011 1:20 p.m.","Mon., Dec.19, 2011 1:13 p.m.","2011-12-19 14:50:00+00","2011-12-19 14:50:00+00","2011-12-19 19:20:00+00","2011-12-19 19:13:00+00"
"2011-12-19","UA-2726-FLL-PHL","E3","B9","Mon, Dec 19 4:00 PM","Mon, Dec 19 4:00 PM","Mon, Dec 19 6:46 PM","Mon, Dec 19 6:16 PM","2011-12-19 21:00:00+00","2011-12-19 21:00:00+00","2011-12-19 23:46:00+00","2011-12-19 23:16:00+00"
"2011-12-19","UA-2945-PHL-CLT","C21","C12","Mon, Dec 19 12:00 AM","Mon, Dec 19 3:11 AM","Mon, Dec 19 1:45 PM","Mon, Dec 19 1:31 PM","2011-12-19 17:00:00+00","2011-12-19 08:11:00+00","2011-12-19 18:45:00+00","2011-12-19 18:31:00+00"
"2011-12-19","UA-6273-YYC-SFO","--","70","Mon, Dec 19 7:45 AM","Mon, Dec 19 9:28 AM","Mon, Dec 19 9:53 AM","Mon, Dec 19 11:09 AM","2011-12-19 14:45:00+00","2011-12-19 16:28:00+00","2011-12-19 17:53:00+00","2011-12-19 19:09:00+00"
"2011-12-19","UA-2314-ATL-PHL","D23","C26","Mon, Dec 19 2:55 PM","Mon, Dec 19 2:55 PM","Mon, Dec 19 5:00 PM","Mon, Dec 19 5:02 PM","2011-12-19 19:55:00+00","2011-12-19 19:55:00+00","2011-12-19 22:00:00+00","2011-12-19 22:02:00+00"
"2011-12-22","CO-1614-LAX-IAH","","","Thu., Dec.22, 2011 12:30 a.m.","Thu., Dec.22, 2011 3:07 a.m.","Thu., Dec.22, 2011 5:36 a.m.","Thu., Dec.22, 2011 8:13 a.m.","2011-12-22 08:30:00+00","2011-12-22 11:07:00+00","2011-12-22 11:36:00+00","2011-12-22 14:13:00+00"
"2011-12-19","UA-382-IAD-LAX","D5","72","Mon, Dec 19 12:20 PM","Mon, Dec 19 1:01 PM            Delayed","Mon, Dec 19 3:08 PM","Mon, Dec 19 3:24 PM","2011-12-19 17:20:00+00","2011-12-19 18:01:00+00","2011-12-19 23:08:00+00","2011-12-19 23:24:00+00"
"2011-12-19","UA-382-IAD-LAX","D5","72","Mon, Dec 19 12:20 PM","Mon, Dec 19 1:01 PM            Delayed","Mon, Dec 19 3:08 PM","Mon, Dec 19 3:19 PM","2011-12-19 17:20:00+00","2011-12-19 18:01:00+00","2011-12-19 23:08:00+00","2011-12-19 23:19:00+00"
"2011-12-22","CO-1250-MIA-IAH","","","Thu., Dec.22, 2011 2:44 p.m.","Thu., Dec.22, 2011 2:48 p.m.","Thu., Dec.22, 2011 4:45 p.m.","Thu., Dec.22, 2011 4:34 p.m.","2011-12-22 19:44:00+00","2011-12-22 19:48:00+00","2011-12-22 22:45:00+00","2011-12-22 22:34:00+00"
"2011-12-22","CO-62-IAH-EWR","","","Thu., Dec.22, 2011 2:30 p.m.","Thu., Dec.22, 2011 2:32 p.m.","Thu., Dec.22, 2011 7:03 p.m.","Thu., Dec.22, 2011 6:50 p.m.","2011-12-22 20:30:00+00","2011-12-22 20:32:00+00","2011-12-23 00:03:00+00","2011-12-22 23:50:00+00"
"2011-12-22","CO-52-IAH-LAX","","","Thu., Dec.22, 2011 7:35 a.m.","Thu., Dec.22, 2011 7:40 a.m.","Thu., Dec.22, 2011 9:30 a.m.","Thu., Dec.22, 2011 9:25 a.m.","2011-12-22 13:35:00+00","2011-12-22 13:40:00+00","2011-12-22 17:30:00+00","2011-12-22 17:25:00+00"
"2011-12-08","AA-3823-LAX-DEN"," 44J"," A49    ","December 8, 2011               09:00 PM    ","December 8, 2011     ","December 9, 2011               12:15 AM    ","December 9, 2011     ","2011-12-09 05:00:00+00","","2011-12-09 07:15:00+00",""
"2011-12-08","AA-204-LAX-MCO"," 47A"," TBA    ","December 8, 2011               11:25 PM    ","December 8, 2011     ","December 9, 2011               06:55 AM    ","December 9, 2011     ","2011-12-09 07:25:00+00","","2011-12-09 11:55:00+00",""
