"eudract_number","open","single_blind","double_blind","randomised","crossover","parallel_group","arms","controlled","protocol_country_code"
"2009-011925-14","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2009-011925-14","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2009-011925-14","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2009-012007-25","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2009-012432-32","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-012432-32","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-012432-32","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","SI"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-012500-11","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2009-013174-41","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-013174-41","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2009-013174-41","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2009-013174-41","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2009-013435-38","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2009-015114-22","No","Yes","No","Yes","No","Yes","2+","Yes","DE"
"2009-015119-42","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-015407-47","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2009-015407-47","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2009-015407-47","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-015407-47","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2009-015407-47","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","NO"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2009-015459-25","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","SI"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","NO"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","LV"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","FI"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","IE"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","PT"
"2009-015476-98","Yes","No","No","Yes","No","Yes","2+","Yes","LT"
"2009-016047-19","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2009-016047-19","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2009-016217-23","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2009-016584-10","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2009-016584-10","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2009-016584-10","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-017374-20","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-017432-40","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2009-017432-40","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2009-017432-40","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2009-017432-40","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","AT"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","GR"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","FR"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","DE"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","GB"
"2009-017485-23","Yes","No","No","No","No","No","2+","No","BE"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","DK"
"2009-017775-19","Yes","No","No","Yes","No","","","Yes","AT"
"2009-017775-19","Yes","Information not present in EudraCT","Information not present in EudraCT","Yes","No","","","Yes","SE"
"2009-017775-19","Yes","Information not present in EudraCT","Information not present in EudraCT","Yes","No","","","Yes","LT"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","ES"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","SI"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","CZ"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","EE"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","PT"
"2009-017775-19","Yes","No","No","Yes","No","","","Yes","HU"
"2009-017775-19","Yes","No","No","Yes","No","","","Yes","BE"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","LV"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","BG"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","NL"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","SK"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","GB"
"2009-017775-19","Information not present in EudraCT","Information not present in EudraCT","Yes","No","No","","","No","FI"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","LV"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","PL"
"2009-017946-30","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2009-018015-11","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2009-018072-33","Yes","No","No","No","No","No","2+","No","IT"
"2010-018370-21","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-018534-44","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-018534-44","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-018534-44","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-018534-44","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2010-019287-37","No","Yes","No","Yes","No","Yes","2+","Yes","DE"
"2010-019287-37","No","Yes","No","Yes","No","Yes","2+","Yes","GB"
"2010-019287-37","No","Yes","No","Yes","No","Yes","2+","Yes","DK"
"2010-019287-37","No","Yes","No","Yes","No","Yes","2+","Yes","ES"
"2010-019287-37","No","Yes","No","Yes","No","Yes","2+","Yes","AT"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","NO"
"2010-019318-26","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","Outside EU/EEA"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","PL"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-019340-40","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2010-019347-18","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-019439-37","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-019632-12","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-019748-38","Yes","No","No","No","No","No","2+","No","DE"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-020122-18","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-020386-24","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","NO"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2010-020601-32","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2010-020814-27","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2010-020814-27","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-020814-27","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2010-020814-27","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2010-020814-27","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","LT"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2010-020821-41","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","PL"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-021113-23","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","PL"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2010-021174-11","No","No","Yes","Yes","No","Yes","2+","Yes","SK"
"2010-021287-16","Yes","No","No","No","No","No","2+","No","CZ"
"2010-021287-16","Yes","No","No","No","No","No","2+","No","BE"
"2010-021370-11","Yes","No","No","No","No","No","2+","No","DE"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","FI"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","GB"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","HU"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","NL"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","BE"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","CZ"
"2010-021434-55","Yes","No","No","Yes","No","No","2+","Yes","DE"
"2010-021821-10","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-021868-15","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-021868-15","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-021868-15","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","PT"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","FI"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","PL"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2010-022064-12","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","PL"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2010-022163-35","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-022388-37","Yes","No","No","No","No","No","2+","No","DE"
"2010-022459-45","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2010-022459-45","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2010-022459-45","Yes","No","No","Yes","No","Yes","2+","Yes","NL"
"2010-022459-45","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-022459-45","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2010-022579-68","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","IS"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","IE"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-022758-18","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","BG"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","EE"
"2010-022872-30","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-022923-31","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-022923-31","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2010-022923-31","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-023409-37","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2010-023409-37","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-023427-18","Yes","No","No","Yes","No","No","2+","Yes","DE"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","HU"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","SK"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","SI"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","NL"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","GR"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","ES"
"2010-023526-21","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","AT"
"2010-023744-33","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-023744-33","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","PL"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","LV"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","LT"
"2010-023775-25","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","FR"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","FI"
"2010-024132-41","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2010-024262-22","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-024262-22","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2010-024300-10","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-024311-13","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-024311-13","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2010-024311-13","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-024311-13","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-024311-13","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2010-024332-42","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-024355-85","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2010-024355-85","No","No","Yes","Yes","No","Yes","2+","Yes","NL"
"2010-024355-85","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2010-024355-85","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2010-024355-85","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2010-024379-15","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","AT"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","PT"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","SK"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","BE"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","IE"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","DE"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","PL"
"2010-024473-39","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","IT"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","GR"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","HU"
"2010-024473-39","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","ES"
"2010-024473-39","Yes","No","No","No","No","No","2+","No","CZ"
"2011-000152-42","No","Yes","No","Yes","No","Yes","2+","Yes","DE"
