"feature","chi2_score_crossover","p_values_crossover","sample_count_crossover","correlation_to_crossover"
"therapeutics",12.14215983412623,0.0004929465462864582,5,0.03976077306010444
"antimuscarinic",12.122569037226246,0.0004981522810764489,24,0.03976077306010444
"antihyperalgesic",12.119981896705477,0.0004988438802009237,3,0.057958665571253974
"unoprostone",12.107591410454345,0.0005021695867810105,1,0.05312910365700322
"pharma",12.0997116701626,0.0005042962051423086,3174,0.05541741577402551
"ivacaftor",12.093963758136297,0.0005058532083041201,91,0.03976077306010443
"dihydroergotamine",12.07865857118399,0.0005100228040726943,2,0.05623164394746045
"orthostatique",12.07865857118399,0.0005100228040726943,1,0.03976077306010443
"lhypotension",12.07865857118399,0.0005100228040726943,0,0.03976077306010442
"dysautonomiques",12.07865857118399,0.0005100228040726943,1,0.039760773060104435
"airways",12.07086353981026,0.0005121597224715431,11,0.03976077306010443
"paroxetins",12.045905359705879,0.0005190627061583299,1,0.08421515825920811
"farmakodynamik",12.045905359705879,0.0005190627061583299,41,0.06658114969639942
"tramadols",12.045905359705879,0.0005190627061583299,1,0.039760773060104435
"iltoptagelse",12.039723585821351,0.000520786937172215,2,0.06699659502348668
"natten",12.039723585821351,0.000520786937172215,3,0.056231643947460455
"lungesygdom",12.039723585821351,0.000520786937172215,2,0.039760773060104435
"blindetstudie",12.039723585821351,0.000520786937172215,2,0.03976077306010442
"kol",12.039723585821351,0.000520786937172215,370,0.03976077306010443
"lgemidlet",12.039723585821351,0.000520786937172215,0,0.06654657491935173
"kontrollereret",12.039723585821351,0.000520786937172215,2,0.05623164394746042
"kryds",12.039723585821351,0.000520786937172215,6,0.039760773060104435
"transmucosal",12.02640378279309,0.0005245217955137174,11,0.039760773060104414
"amedical",12.016043718937635,0.0005274454305903923,1,0.039760773060104435
"inosteoarthritis",12.016043718937635,0.0005274454305903923,1,0.06766941984998653
"zkrizena",11.97606828406176,0.0005388816411490679,0,0.03976077306010443
"blokem",11.97606828406176,0.0005388816411490679,4,0.03976077306010443
"orkambidvojite",11.97606828406176,0.0005388816411490679,0,0.03976077306010443
"nekompletnim",11.97606828406176,0.0005388816411490679,0,0.05623164394746042
"sumatriptan",11.95089055811978,0.0005462126656875939,3,0.03976077306010443
"rdt",11.95089055811978,0.0005462126656875939,32,0.03976077306010443
"group",11.945575525138254,0.0005477730748795491,11290,0.0562314177644353
"calcichew",11.933635827566766,0.0005512948103876807,2,0.03976077306010443
"economy",11.933254725484844,0.0005514075960120503,2,0.03976077306010442
"reactivity",11.911852359161166,0.0005577790723565585,22,0.039760773060104455
"administrationesilaakitys",11.893951043128292,0.000563165341644975,0,0.03976077306010443
"vahemman",11.893951043128292,0.000563165341644975,0,0.03976077306010442
"annossa",11.893951043128292,0.000563165341644975,1,0.06167704834456756
"kajoavassa",11.893951043128292,0.000563165341644975,1,0.05623164394746041
"surfaktantin",11.893951043128292,0.000563165341644975,1,0.042355675422476494
"endothelium",11.872612295344283,0.0005696545455799007,4,0.06770330298955264
"hypoglycae",11.857528789940089,0.0005742869991946646,16,0.03286117002331989
"hypoglycaemia",11.857528789940089,0.0005742869991946646,11,-0.08232653611898412
"prone",11.857528789940089,0.0005742869991946646,18,0.039760773060104435
"trusts",11.839331270083614,0.0005799264882222433,6,0.039760773060104435
"erp",11.831273069692232,0.0005824415901579991,655,0.03976077306010444
"noscapine",11.824743339231935,0.0005844877068288708,1,0.039760773060104435
"krft",11.778088968460947,0.0005993197885693006,0,0.047164216797186506
"andre",11.778088968460947,0.0005993197885693006,11,0.05500351256622095
"unsaturated",11.762534549376294,0.0006043487749490003,11,0.05623164394746045
"pufas",11.762534549376294,0.0006043487749490003,1,0.03976077306010443
"fetuin",11.742875281123466,0.000610765938917817,1,0.06533346905324026
"subarachnoidal",11.698406304735999,0.0006255365130924733,3,0.03976077306010442
"neuropsychological",11.698406304735999,0.0006255365130924733,6,0.058525589626838403
"boosting",11.689377801481152,0.0006285791514018985,3,0.05124968729885612
"cystometry",11.680969312528873,0.0006314262835410079,1,0.09162101846826314
"eflow",11.660955411309676,0.0006382555391793531,7,0.04783989696496611
"bisoprolol",11.657138965555701,0.0006395662526992329,3,0.056231357269704366
"hcp",11.652551100637893,0.0006411454998698104,6,0.04600244929108293
"skp",11.641256993168467,0.0006450499901182456,2,0.06799428225126426
"hcn",11.627205034574338,0.0006499414442689149,3,0.05623164394746044
"ingestion",11.604182647622693,0.0006580365929783113,2,0.039760773060104414
"inquietas",11.559293119099175,0.0006741147664896939,8,0.04480729422604021
"piernas",11.559293119099175,0.0006741147664896939,8,0.03976077306010444
"rbd",11.515034708502581,0.0006903554249360717,1,0.03976077306010442
"rem",11.515034708502581,0.0006903554249360717,2194,0.03976077306010443
"posture",11.508500175783624,0.0006927865387524244,1,0.06887115611248215
"leaning",11.508500175783624,0.0006927865387524244,2,0.039760773060104435
"inhaling",11.508500175783624,0.0006927865387524244,1,0.056231643947460455
"diskus",11.503067544038593,0.0006948142829473499,49,0.03976077306010444
"erectiledysfunction",11.460453921358866,0.0007109293250421416,1,0.03695842669162684
"penile",11.460453921358866,0.0007109293250421416,3,0.03976077306010445
"rigidityunder",11.460453921358866,0.0007109293250421416,1,0.04901315968234179
"raising",11.388226977670872,0.0007391104289125054,6,0.04707665692246599
"blend",11.363411459379419,0.0007490511447307557,2,0.039760773060104414
"pulmosphere",11.363411459379419,0.0007490511447307557,2,0.03976077306010441
"fixture",11.359489836613285,0.0007506344017050936,7,0.05438258846161596
"viathe",11.359489836613285,0.0007506344017050936,1,0.039760773060104435
"epic",11.359489836613285,0.0007506344017050936,16,0.07153992454038281
"mercaptopurine",11.334851600317313,0.0007606591243902957,5,0.14451636737048143
"eksperimentel",11.318610663708297,0.000767341053423445,2,0.05623164394746043
"hypoglykmi",11.318610663708297,0.000767341053423445,0,0.06837720811652989
"erythropoietins",11.318610663708297,0.000767341053423445,2,0.03976077306010442
"carboxy",11.317086067588138,0.0007679713477631968,110,0.03976077306010443
"mgp",11.317086067588138,0.0007679713477631968,4,0.056231643947460455
"bronchodilatation",11.31096264552505,0.0007705081507263837,2,0.03976077306010445
"cumulative",11.31096264552505,0.0007705081507263837,4,0.039760773060104435
"bronchodilators",11.31096264552505,0.0007705081507263837,1,0.054829738334785584
"nitroglycerin",11.285903939774956,0.0007809779747747168,5,0.07464952073057456
"mqx",11.285903939774956,0.0007809779747747168,2,0.04911809948044802
"turoctocog",11.284585514855888,0.0007815327923773222,15,0.03976077306010442
"brown",11.275791991287326,0.0007852434712308277,4,0.047174593584072416
"south",11.275791991287326,0.0007852434712308277,6,0.03976077306010444
"asian",11.275791991287326,0.0007852434712308277,7,0.05538548633630412
"handling",11.243744229553792,0.0007989182732763656,209,0.05623164394746044
"tetrahydrate",11.235052079623642,0.0008026685374232042,4,0.039760773060104435
"simvastatin",11.113256017139037,0.0008571288331622951,165,0.03976077306010442
"hereditaires",11.07844827364856,0.0008733685528372845,0,0.05500228058758491
"polyphenon",11.07844827364856,0.0008733685528372845,1,0.039760773060104435
"gallate",11.07844827364856,0.0008733685528372845,3,0.039760773060104435
"parlepigallocatechine",11.07844827364856,0.0008733685528372845,0,0.03976077306010445
"dystrophiques",11.07844827364856,0.0008733685528372845,1,0.06887115611248217
"bulleuses",11.07844827364856,0.0008733685528372845,1,0.03976077306010443
"epidermolyses",11.07844827364856,0.0008733685528372845,0,0.03976077306010441
"date",11.07842093412971,0.0008733814297047395,742,0.039760773060104435
"doenca",11.069439680244933,0.0008776219893214716,0,0.04503018550535553
"sustancias",11.059724890122146,0.0008822323295490111,1,0.05623164394746042
"apomorfina",11.059724890122146,0.0008822323295490111,4,0.056015613984235824
"psicotropas",11.059724890122146,0.0008822323295490111,1,0.039760773060104414
"marcador",11.059724890122146,0.0008822323295490111,44,0.04443173661537428
"lipid",11.04623811713536,0.0008886733539696372,443,0.056202652474017206
"azelastine",11.040080162384053,0.0008916300628255392,3,0.05616383989932179
"mefenamic",11.035872194580916,0.0008936562136541733,3,0.03976077306010442
"menstruating",11.035872194580916,0.0008936562136541733,1,0.03976077306010442
"igfbp",11.028485019983037,0.0008972244280327481,2,0.08881671979549847
"antioxidant",10.976490918177763,0.0009227498861145165,7,0.0434354366378912
"tredaptive",10.976490918177763,0.0009227498861145165,1,0.056231643947460455
"quantitative",10.974126137060384,0.0009239281286881735,20,0.03976077306010443
"hexalacton",10.966004600164496,0.0009279862461370454,1,0.06887115611248215
"mikroalbuminuri",10.966004600164496,0.0009279862461370454,1,0.03976077306010443
"motorfluctuations",10.964649176274875,0.0009286652682854205,4,0.03976077306010443
"levodoparesponsive",10.964649176274875,0.0009286652682854205,4,0.03976077306010442
"blindedrater",10.964649176274875,0.0009286652682854205,4,0.039760773060104435
"procaterol",10.945189686322696,0.0009384693848046008,1,0.03976077306010441
"blod",10.945189686322696,0.0009384693848046008,17,0.07096640925121596
"athletes",10.945189686322696,0.0009384693848046008,2,0.03976077306010442
"elite",10.945189686322696,0.0009384693848046008,10,0.05623164394746044
"bud",10.940272706223775,0.0009409631863811443,211,0.039760773060104414
"thc",10.931336194236183,0.0009455127884495208,64,0.05402451812292727
"tetrahydrocannabinol",10.931336194236183,0.0009455127884495208,3,0.039760773060104435
"scintigraphic",10.90403292421704,0.0009595512156529902,4,0.06887115611248215
"oligog",10.90403292421704,0.0009595512156529902,3,0.05908580122641674
"radiolabelled",10.90403292421704,0.0009595512156529902,3,0.03976077306010443
"fluticasone",10.89296695967964,0.0009653008132925304,451,0.03976077306010443
"neurexan",10.864094703150068,0.0009804666813926601,2,0.03976077306010442
"vienna",10.853254162838349,0.0009862229630768443,12,0.05623164394746043
"entacapone",10.845661902836738,0.0009902747589138105,16,0.0562188401068606
"cue",10.808433476900145,0.0010103876161122248,361,0.05621726957529578
"thyroidectomised",10.797242793988538,0.0010165138265648957,2,0.03976077306010441
"respimatinhaler",10.794810262600109,0.0010178504504137326,0,0.0678221524295086
"crossoverstudy",10.794810262600109,0.0010178504504137326,3,0.043522118294211445
"ofbi",10.794810262600109,0.0010178504504137326,6,0.04593035732701361
"neuropati",10.792730848272482,0.001018994453075606,66,0.048546026900043567
"motorisk",10.792730848272482,0.001018994453075606,2,0.03976077306010442
"multifokal",10.792730848272482,0.001018994453075606,1,0.03976077306010442
"immunglobulin",10.792730848272482,0.001018994453075606,2,0.039760773060104435
"pmdifor",10.756951362917667,0.001038883717253373,5,0.039760773060104414
"ofchf",10.756951362917667,0.001038883717253373,5,0.054938298669865
"asthmaon",10.756951362917667,0.001038883717253373,5,0.05622475199997812
"replication",10.751743202516952,0.001041811411347458,5,0.05406942294912273
"asthma",10.734969325668548,0.001051297450191424,1395,0.03976077306010442
"polysomnography",10.672641320520503,0.0010873174508727642,40,0.03976077306010443
"eq",10.67047722892653,0.0010885902859521538,3175,0.038614835874254204
"bleomicina",10.67047722892653,0.0010885902859521538,1,0.039760773060104435
"aerochamber",10.656280023903514,0.0010969779951264258,4,0.039760773060104455
"plusTM",10.656280023903514,0.0010969779951264258,0,0.03976077306010442
"relaxations",10.644432881124306,0.001104027309336593,2,0.03976077306010445
"sphincter",10.644432881124306,0.001104027309336593,2,0.04495865127897621
"tlesrs",10.644432881124306,0.001104027309336593,2,0.03976077306010443
"macro",10.592348405918347,0.0011355664377880395,62,0.052469870749588185
"electroporated",10.592348405918347,0.0011355664377880395,3,0.039760773060104435
"spect",10.555476099786082,0.0011584437038346948,2528,0.056231643947460455
"viajecttm",10.547373619633703,0.0011635330272630755,1,0.039760773060104414
"igf",10.541604062334176,0.001167170781163515,30,0.056231643947460455
"foster",10.538620474818284,0.0011690564697796738,56,0.0562316439474604
"glucagon",10.499259385785935,0.0011942240193140805,25,0.03976077306010443
"lps",10.496976399979333,0.0011957004744252969,5,0.051256193886106395
"sunitinib",10.487313668118299,0.0012019700482401852,241,0.06788641206297039
"optimalisering",10.445911193208193,0.0012292125341172794,1,0.039760773060104435
"disposition",10.445911193208193,0.0012292125341172794,3,0.03976077306010442
"staalname",10.445911193208193,0.0012292125341172794,1,0.03976077306010443
"optimizationgeneesmiddelendispositie",10.445911193208193,0.0012292125341172794,1,0.03976077306010442
"gum",10.431868948769694,0.0012385934305746294,54,0.03976077306010444
"white",10.392249470761818,0.001265453629967644,10,0.03976077306010443
"guselkumab",10.377102737733416,0.0012758775257635465,31,0.03976077306010442
"beverage",10.376875266611359,0.001276034730680885,1,0.03859335524784217
"coca",10.376875266611359,0.001276034730680885,10,0.052586260672567116
"multihance",10.340881082778582,0.001301158880526284,8,0.039760773060104414
"coarse",10.329017558227394,0.0013095489328834385,1,0.039760773060104435
"terbutaline",10.320087230899897,0.0013159006946591807,24,0.03976077306010442
"dihydrate",10.3050718016435,0.001326650911400183,10,0.03976077306010443
"anabolite",10.286964158338137,0.0013397333066754106,1,0.05619651649597259
"triphosphate",10.286964158338137,0.0013397333066754106,1,0.05623164394746047
"carbovir",10.286964158338137,0.0013397333066754106,1,0.049344943959776386
"testing",10.283999414075442,0.0013418876803833,64,0.03976077306010442
"difficulty",10.26604573266618,0.0013550091104085136,1,0.03976077306010444
"normalise",10.26604573266618,0.0013550091104085136,1,0.048110589699940996
"unpreserved",10.235607809393356,0.0013775521261544326,19,0.043763895284907116
"fed",10.231122205339314,0.0013809062176337384,35,0.041080171612072953
"effekten",10.223727494661523,0.0013864536410907761,76,0.07058516474888253
"paf",10.21689491318055,0.0013915994150434411,21,0.042829469302236564
"hypokit",10.191886794357666,0.0014105990690980801,1,0.04136765857269144
"aderforkalkningssjukdom",10.183779815707082,0.0014168144629060303,0,0.03976077306010445
"valproinsyra",10.183779815707082,0.0014168144629060303,2,0.03976077306010445
"fibrinolysen",10.183779815707082,0.0014168144629060303,1,0.03976077306010442
"atherosclerosiseffekt",10.183779815707082,0.0014168144629060303,1,0.06840452400584829
"manniska",10.183779815707082,0.0014168144629060303,0,0.03976077306010442
"oxygenase",10.165192691140732,0.0014311695664039532,5,0.036478597327315676
"favourable",10.165192691140732,0.0014311695664039532,8,0.039760773060104414
"heme",10.165192691140732,0.0014311695664039532,31,0.03976077306010442
"tollerability",10.116412883602461,0.0014695473451702772,4,0.039760773060104414
"supply",10.116412883602461,0.0014695473451702772,1,0.039760773060104414
"timololo",10.116412883602461,0.0014695473451702772,1,0.03976077306010441
"volunteersgastrointestinale",10.101845950037276,0.001481208805626679,1,0.06463064343869039
"gedrag",10.101845950037276,0.001481208805626679,4,0.03976077306010443
"protein",10.083053920422957,0.0014963911820706853,433,0.0505633802338591
"etudier",10.07635090860454,0.0015018447016457927,0,0.05522204210736115
"dacromegalie",10.07635090860454,0.0015018447016457927,0,0.039760773060104414
"chronische",10.062092286678602,0.001513512451544151,51,0.03976077306010443
"dyspepsie",10.039618613983281,0.0015320892077217477,5,0.039760773060104435
"patienter",10.034039583354723,0.001536736510552768,197,0.044387463414041206
"hipocretinas",10.006320573740389,0.0015600388662531037,1,0.039760773060104435
"hypocretin",10.006320573740389,0.0015600388662531037,1,0.048009511640139495
"suvorexanttratamiento",10.006320573740389,0.0015600388662531037,1,0.039760773060104435
"silexan",9.987325184119197,0.0015762139588116257,2,0.039760773060104414
"subchronic",9.987325184119197,0.0015762139588116257,2,0.044884110930555325
"overefficacy",9.965898136054141,0.001594663676953113,5,0.039760773060104414
"oncedaily",9.965898136054141,0.001594663676953113,7,0.056231643947460455
"dailydelivered",9.965898136054141,0.001594663676953113,5,0.03976077306010444
"trombocitemia",9.935734136460155,0.001621007720776713,7,0.041590308132196316
"splenomegalystudio",9.935734136460155,0.001621007720776713,5,0.039546203555108045
"splenomegalia",9.935734136460155,0.001621007720776713,5,0.03976077306010445
"bopta",9.927693885422766,0.0016281038846591256,1,0.042345017059499994
"bioresorbable",9.835890448945507,0.0017113941519106737,18,0.039760773060104435
"psicosociales",9.829683209906142,0.0017171792124543342,1,0.05622511413727749
"obtenidos",9.829683209906142,0.0017171792124543342,1,0.03976077306010443
"gaviscon",9.821881758468143,0.0017244781674470488,7,0.039760773060104435
"splenomegaly",9.819068347507066,0.0017271180704754475,11,0.039760773060104435
"pyrosisklachten",9.791927047547963,0.0017527967823666416,1,0.03976077306010443
"dyspepsiahet",9.791927047547963,0.0017527967823666416,1,0.047439314194155986
"patient",9.756766652213198,0.0017866386563789637,25537,0.039760773060104435
"merit",9.70422792654631,0.0018384454712954564,2,0.05623164394746043
"battery",9.702646339805321,0.0018400284158232203,2,0.03976077306010441
"neurocart",9.702646339805321,0.0018400284158232203,1,0.03976077306010443
"turbohaler",9.69572538858212,0.0018469715735603396,22,0.051963650237017225
"arterier",9.687279802981019,0.0018554802424952932,1,0.039760773060104455
"hjernens",9.687279802981019,0.0018554802424952932,2,0.0341986499997543
"store",9.687279802981019,0.0018554802424952932,11,0.05622537546050493
"thebronchodilator",9.668607279330448,0.0018744335390396257,5,0.06611729556435539
"waycrossover",9.668607279330448,0.0018744335390396257,5,0.03976077306010442
"thehandihaler",9.668607279330448,0.0018744335390396257,5,0.03976077306010445
"hemophilia",9.654149230812859,0.0018892436987100866,311,0.2750777415048216
"paracentesis",9.618636107073733,0.0019261272465451993,5,0.03976077306010442
"hyperalgesia",9.611823290421261,0.0019332859866463153,11,0.04397813445978879
"dopaminergic",9.609858272659833,0.001935355786336082,5,0.05623164394746042
"inspiratory",9.603184638704077,0.0019424020678510028,13,0.05623164394746043
"immunoscintigraphy",9.581563470721036,0.0019654096630917542,4,0.05623164394746045
"ofscintimun",9.581563470721036,0.0019654096630917542,2,0.05465759853451931
"jointswith",9.581563470721036,0.0019654096630917542,2,0.03976077306010443
"diagnosinginfection",9.581563470721036,0.0019654096630917542,2,0.03976077306010445
"tegen",9.575092615865278,0.0019723490259698916,7,0.05623164394746042
