"feature","chi2_score_single_blind","p_values_single_blind","sample_count_single_blind","correlation_to_single_blind"
"ceftazidime",16.22833337723737,5.614805138165376e-05,62,0.07161515583854834
"bioequivalence",16.20445043500958,5.686037762635638e-05,22,0.05908663036226747
"prepuberal",16.20445043500958,5.686037762635638e-05,3,0.08574142804780198
"coloscopie",16.16115207820785,5.8175038122713636e-05,5,0.04950036937894388
"technikaval",16.097270955301177,6.017068281875232e-05,0,0.09220493918510185
"gentamicinin",16.05137786951289,6.164675158034309e-05,1,0.049500369378943865
"biciron",16.05137786951289,6.164675158034309e-05,1,0.04950036937894388
"advisablea",16.05137786951289,6.164675158034309e-05,1,0.0622107484923986
"corti",16.05137786951289,6.164675158034309e-05,763,0.04950036937894389
"unicenter",16.026350445933556,6.246700400983356e-05,7,0.08569945484709694
"articaina",15.938248838058204,6.544279150508058e-05,1,0.04950036937894387
"profundidad",15.938248838058204,6.544279150508058e-05,1,0.049500369378943886
"buffered",15.891973167570567,6.706253604941673e-05,1,0.049500369378943844
"sem",15.881966252584999,6.741806798570059e-05,1314,0.049500369378943865
"simvastatinbehandling",15.880388434255773,6.747429847784292e-05,1,0.04950036937894389
"diklofenak",15.880388434255773,6.747429847784292e-05,1,0.04950036937894387
"diclofenak",15.880388434255773,6.747429847784292e-05,1,0.04950036937894388
"ophthalmopathy",15.880388434255773,6.747429847784292e-05,2,0.04184739710928342
"oftalmopati",15.880388434255773,6.747429847784292e-05,5,0.049500369378943886
"gadopenteate",15.86720141025122,6.794610789425697e-05,1,0.049500369378943865
"controlling",15.86156789017081,6.814867601730986e-05,31,0.04950036937894387
"sebiprox",15.749071987332156,7.232340887660845e-05,1,0.04950036937894389
"seborrheic",15.749071987332156,7.232340887660845e-05,5,0.04235132779802956
"meningococcal",15.699894291330779,7.422831856291912e-05,85,0.06803929158560361
"general",15.683611668026607,7.48700882672038e-05,287,0.08574142804780194
"juxtafoveal",15.615008029168273,7.763594346761877e-05,1,0.06743635597227293
"avastintm",15.615008029168273,7.763594346761877e-05,1,0.05539122312454736
"techniques",15.613532258550602,7.769655739310946e-05,25,0.08569945484709694
"lidocaina",15.603806359897451,7.809721913832135e-05,2,0.049500369378943886
"salmeterolcfc",15.591648474204097,7.860099197584868e-05,0,0.049500369378943886
"purulent",15.582261375069848,7.89921903385085e-05,8,0.04950036937894387
"immunologische",15.41199276338106,8.643797354531847e-05,11,0.049500369378943886
"inductie",15.41199276338106,8.643797354531847e-05,8,0.054915471998876336
"koebnerfenomeen",15.41199276338106,8.643797354531847e-05,1,0.049500369378943886
"pediculicide",15.255524861436779,9.390167395604385e-05,1,0.049500369378943886
"lyclear",15.255524861436779,9.390167395604385e-05,3,0.07000583821632309
"hierro",15.21109624341704,9.613686466142337e-05,17,0.04950036937894389
"diseaseprotocolo",15.094524479919304,0.0001022594700009909,1,0.04950036937894388
"rezisztens",15.07789161387477,0.00010316449398704959,12,0.049500369378943886
"vasovist",15.067981429839811,0.00010370755269328597,6,0.049500369378943886
"locamente",15.041913041065845,0.0001051498271257212,4,0.04950036937894385
"benigna",15.024160967718792,0.00010614352626079154,13,0.03839805188315812
"lindre",15.01051751294281,0.00010691365815336057,1,0.04950036937894385
"ryge",15.01051751294281,0.00010691365815336057,2,0.050766677098873676
"nikotintrangen",15.01051751294281,0.00010691365815336057,1,0.04950036937894387
"nikotintyggegummi",15.01051751294281,0.00010691365815336057,1,0.04950036937894389
"trangen",15.01051751294281,0.00010691365815336057,1,0.05538517551686638
"slags",15.01051751294281,0.00010691365815336057,1,0.049500369378943886
"consistency",14.935683215372107,0.00011123896088229389,17,0.11144132124074835
"nephtritis",14.881901767331973,0.00011445582846041874,1,0.038938676364313106
"regulering",14.766159611503499,0.00012170003328794876,3,0.04950036937894387
"blodsukkeret",14.766159611503499,0.00012170003328794876,1,0.0700058382163231
"diabetesautomatisk",14.766159611503499,0.00012170003328794876,1,0.04950036937894385
"app",14.760163392767137,0.00012208766406033808,621,0.0495003693789439
"ocolytict",14.760163392767137,0.00012208766406033808,1,0.04950036937894389
"threat",14.760163392767137,0.00012208766406033808,32,0.04950036937894388
"prematuro",14.760163392767137,0.00012208766406033808,25,0.049500369378943865
"prematureutilidad",14.760163392767137,0.00012208766406033808,1,0.0700058382163231
"tocolitico",14.760163392767137,0.00012208766406033808,0,0.0690813768115758
"appear",14.758370617987222,0.00012220380071532825,11,0.05344424537825627
"perdiatrico",14.758370617987222,0.00012220380071532825,1,0.04950036937894388
"nositelu",14.717260849138544,0.00012489763765458802,0,0.049500369378943886
"antiremodelacni",14.717260849138544,0.00012489763765458802,0,0.04950036937894388
"antiremodelation",14.717260849138544,0.00012489763765458802,1,0.049500369378943886
"antiarytmicke",14.717260849138544,0.00012489763765458802,0,0.04950036937894386
"macronutrient",14.712851048810721,0.0001251901298846846,1,0.049500369378943844
"aspects",14.712851048810721,0.0001251901298846846,2,0.03979598455931852
"scamp",14.712851048810721,0.0001251901298846846,1,0.054496106469257885
"macronutrients",14.712851048810721,0.0001251901298846846,1,0.040054873266332953
"meriofert",14.657107429082957,0.00012894748294781092,1,0.04950036937894387
"hfsh",14.657107429082957,0.00012894748294781092,6,0.07000583821632309
"fostipur",14.657107429082957,0.00012894748294781092,4,0.036456562419783976
"erc",14.646690249156482,0.0001296621346502861,1658,0.04950036937894386
"hiperuricemiaevaluation",14.646690249156482,0.0001296621346502861,1,0.04950036937894385
"morbimortality",14.646690249156482,0.0001296621346502861,1,0.043887140270066
"lavaggio",14.626235220618529,0.00013107703797703423,2,0.06755390409386117
"kezelesre",14.545290224554794,0.00013683026471876438,0,0.04950036937894389
"colonica",14.534504889896912,0.00013761579871599469,0,0.049500369378943865
"clindamycin",14.529551239398955,0.00013797811065226507,19,0.04950036937894388
"medycznego",14.488256979064188,0.00014103600758269482,1,0.04950036937894388
"krancowejpostaci",14.488256979064188,0.00014103600758269482,0,0.04075183628483444
"lasera",14.488256979064188,0.00014103600758269482,1,0.054683367121770396
"niedokrwiennej",14.488256979064188,0.00014103600758269482,1,0.049500369378943865
"diseaseuzycie",14.488256979064188,0.00014103600758269482,0,0.06214740738422049
"patch",14.458377682240316,0.00014329107809099182,54,0.049500369378943886
"subunit",14.371362292785419,0.00015006735309369554,42,0.04950036937894389
"inflamatoria",14.333700404494152,0.0001530994475472124,23,0.04950036937894389
"oxacilin",14.290628854409308,0.0001566427688300367,2,0.049500369378943865
"autorizacion",14.290628854409308,0.0001566427688300367,0,0.04950036937894385
"rinse",14.283218217600792,0.00015726068632889622,5,0.0477128088324015
"hospitalisationtobbkozpontu",14.264659756622322,0.00015881893023324031,0,0.05317544177058681
"szorulna",14.264659756622322,0.00015881893023324031,2,0.053989247679295436
"cefalosporin",14.264659756622322,0.00015881893023324031,2,0.04950036937894386
"vancomycinnel",14.264659756622322,0.00015881893023324031,2,0.04950036937894386
"korhazban",14.264659756622322,0.00015881893023324031,0,0.07000583821632303
"vizsgalora",14.264659756622322,0.00015881893023324031,0,0.049500369378943886
"miatt",14.264659756622322,0.00015881893023324031,17,0.06183342162612106
"ceftobiprol",14.264659756622322,0.00015881893023324031,27,0.04831117128050043
"parenchyma",14.219727286642458,0.00016265635116420281,5,0.08535072137805874
"evarrest",14.219727286642458,0.00016265635116420281,4,0.04950036937894385
"duringopen",14.219727286642458,0.00016265635116420281,1,0.049500369378943865
"strefen",14.175026742604029,0.00016656663260622784,1,0.050911979747951905
"difflam",14.175026742604029,0.00016656663260622784,1,0.0694763919021799
"flurbiprofen",14.175026742604029,0.00016656663260622784,1,0.07228627442560354
"proximal",14.16271771204935,0.000167659923056085,25,0.07000583821632309
"intake",14.120312454937142,0.0001714820069913988,24,0.04950036937894387
"mecanismo",14.005823883937357,0.0001822452794851309,15,0.0495003693789439
"glaucoma",13.914458065172443,0.00019132111410166154,219,0.04950036937894387
"preparacion",13.887278483685325,0.00019410788039517408,0,0.07000583821632303
"blutegeltherapie",13.855928504725151,0.0001973730723405276,1,0.050863520070099665
"hirudo",13.855928504725151,0.0001973730723405276,2,0.049500369378943865
"studyrandomisierte",13.855928504725151,0.0001973730723405276,0,0.06997807876706218
"leech",13.855928504725151,0.0001973730723405276,1,0.049500369378943865
"verbana",13.855928504725151,0.0001973730723405276,1,0.04950036937894389
"ruckenschmerzen",13.855928504725151,0.0001973730723405276,0,0.04950036937894385
"verblindete",13.834303960926919,0.00019965752614587177,44,0.049500369378943844
"sera",13.82603239911403,0.00020053837491469483,106,0.049500369378943865
"batrafen",13.819178185724393,0.00020127125408429746,1,0.04950036937894387
"ciclopirox",13.819178185724393,0.00020127125408429746,3,0.04950036937894388
"plaquetas",13.737533516357203,0.00021021135153818712,18,0.07597827502890088
"sealants",13.736931958027483,0.0002102786857835582,1,0.04950036937894386
"seal",13.736931958027483,0.0002102786857835582,61,0.05545155635587961
"pit",13.736931958027483,0.0002102786857835582,1470,0.049500369378943844
"decay",13.736931958027483,0.0002102786857835582,1,0.08227390642705036
"mammographiedichte",13.704731224188674,0.00021391490739568257,1,0.04950036937894387
"urogenitale",13.704731224188674,0.00021391490739568257,1,0.09855462952248695
"studieestriol",13.704731224188674,0.00021391490739568257,1,0.07000583821632311
"zytologie",13.704731224188674,0.00021391490739568257,1,0.07000583821632311
"szerzett",13.683975538264258,0.00021629222716662723,10,0.0641698846542195
"hexidina",13.511323565544943,0.00023712823292578423,3,0.04950036937894389
"fissura",13.511323565544943,0.00023712823292578423,3,0.04950036937894387
"cloro",13.511323565544943,0.00023712823292578423,14,0.04950036937894389
"paste",13.511323565544943,0.00023712823292578423,42,0.08574142804780202
"distribuicao",13.511323565544943,0.00023712823292578423,0,0.04950036937894388
"simples",13.511323565544943,0.00023712823292578423,4,0.04950036937894387
"ubidecarenone",13.511323565544943,0.00023712823292578423,3,0.0495003693789439
"chlorohexidine",13.511323565544943,0.00023712823292578423,3,0.08316447594710373
"intragastric",13.50638772936729,0.00023775275949358427,7,0.04950036937894387
"fosfosoda",13.476850950302032,0.00024152481297712525,1,0.04950036937894389
"bohm",13.476850950302032,0.00024152481297712525,1,0.04950036937894387
"exploracion",13.476850950302032,0.00024152481297712525,0,0.049500369378943886
"metal",13.458054197876002,0.00024395663536746714,16,0.06821925429576761
"leziclen",13.452581805491523,0.00024466925090979255,0,0.049500369378943886
"lavage",13.452581805491523,0.00024466925090979255,6,0.049500369378943886
"colique",13.452581805491523,0.00024466925090979255,6,0.04950036937894389
"veille",13.452581805491523,0.00024466925090979255,5,0.04950036937894388
"pesant",13.452581805491523,0.00024466925090979255,3,0.04950036937894388
"kombinalt",13.44050579357947,0.00024624922201852773,0,0.049500369378943886
"nasogastrica",13.402040118907806,0.00025135076999844517,0,0.08574142804780203
"eritromicina",13.402040118907806,0.00025135076999844517,1,0.049500369378943865
"endoscopia",13.402040118907806,0.00025135076999844517,1,0.04950036937894387
"sonda",13.402040118907806,0.00025135076999844517,1,0.08936195340394347
"lavados",13.402040118907806,0.00025135076999844517,1,0.1324631736636701
"epo",13.395905033346658,0.00025217423512675425,723,0.04175456318803964
"double",13.3818430158435,0.00025407194432046083,28130,0.04950036937894387
"rising",13.349597551830886,0.00025847808862302583,32,0.049500369378943886
"pustular",13.268384233872093,0.0002699197457766611,32,0.0833235280167378
"vh",13.182789806394517,0.0002825318360597719,118,0.0669192535111987
"duraseal",13.182789806394517,0.0002825318360597719,4,0.04950036937894388
"allergische",13.173599597982578,0.00028392082661469825,9,0.04950036937894388
"practicesymptomatische",13.173599597982578,0.00028392082661469825,1,0.09876891285504416
"huisartspraktijk",13.173599597982578,0.00028392082661469825,1,0.09706333617563254
"gerelateerd",13.173599597982578,0.00028392082661469825,9,0.049500369378943886
"rhinoconjuctivitis",13.173599597982578,0.00028392082661469825,1,0.049500369378943844
"ovar",13.172408108760118,0.0002841014093971432,761,0.04950036937894389
"perianal",13.089348239620213,0.0002969796626659365,32,0.04950036937894388
"explora",13.043273954229909,0.0003043755453714934,489,0.04950036937894388
"verifynow",13.028085515202621,0.0003068540840506222,1,0.05803548733671867
"verdi",13.028085515202621,0.0003068540840506222,2,0.04950036937894386
"hyperkalemiajednoduse",13.017282538517415,0.00030862935221560796,0,0.043147230099164005
"skladajici",13.017282538517415,0.00030862935221560796,0,0.08324887965603595
"hyperkalemie",13.017282538517415,0.00030862935221560796,0,0.04950036937894385
"chemiopreventiva",13.011526730947402,0.00030957943685286436,1,0.04950036937894385
"catenina",13.011526730947402,0.00030957943685286436,1,0.04950036937894385
"segnalazione",13.011526730947402,0.00030957943685286436,1,0.049500369378943886
"ndazione",13.011526730947402,0.00030957943685286436,1,0.049500369378943906
"kolloid",12.980314570780797,0.0003147830765470515,3,0.049500369378943906
"urological",12.980314570780797,0.0003147830765470515,35,0.07000583821632322
"elektiv",12.980314570780797,0.0003147830765470515,16,0.05993306230238189
"krystalloid",12.980314570780797,0.0003147830765470515,1,0.0495003693789439
"urologisk",12.980314570780797,0.0003147830765470515,1,0.07000583821632313
"koagulation",12.980314570780797,0.0003147830765470515,6,0.08574142804780194
"solution",12.955870446138585,0.0003189198731201676,527,0.06223205931877443
"organtransplanterede",12.942413618662627,0.0003212205877204433,2,0.0686111305027645
"hudlsioner",12.942413618662627,0.0003212205877204433,0,0.06932814488837108
"intraindividuelt",12.942413618662627,0.0003212205877204433,1,0.04604193516547827
"topikal",12.942413618662627,0.0003212205877204433,4,0.07000583821632309
"prmaligne",12.942413618662627,0.0003212205877204433,0,0.05282340789138628
"fotodynamisk",12.942413618662627,0.0003212205877204433,4,0.04950036937894389
"effektvurdering",12.942413618662627,0.0003212205877204433,1,0.049500369378943865
"lumbosacras",12.924593879646721,0.00032429300598223925,1,0.059617640550440686
"radicular",12.924593879646721,0.00032429300598223925,3,0.04950036937894388
"radiculalgias",12.924593879646721,0.00032429300598223925,1,0.04062641579213661
"tenotomia",12.871181961573892,0.0003336807946488085,0,0.049500369378943886
"epicondylitisestudio",12.871181961573892,0.0003336807946488085,1,0.07024461145308529
"epicondilitis",12.871181961573892,0.0003336807946488085,1,0.04950036937894385
"tenotomy",12.871181961573892,0.0003336807946488085,1,0.04950036937894389
"alert",12.86616376374667,0.0003345767663447675,6,0.0700058382163231
"rehydration",12.81801127317566,0.0003432984323032842,2,0.042635617621714986
"rehydrations",12.81801127317566,0.0003432984323032842,1,0.04950036937894387
"paediatrics",12.81801127317566,0.0003432984323032842,1,0.049500369378943886
"praparaten",12.81801127317566,0.0003432984323032842,0,0.04950036937894387
"padiatrie",12.81801127317566,0.0003432984323032842,0,0.09888601241559308
"studyakute",12.81801127317566,0.0003432984323032842,1,0.04950036937894388
"food",12.786812794263813,0.00034907133592659563,33,0.05591536553165799
"effectiveness",12.713717575917137,0.0003629831231419616,415,0.085741428047802
"lacide",12.710605564092495,0.00036358767121657496,0,0.039060802711474704
"autistique",12.710605564092495,0.00036358767121657496,1,0.04950036937894389
"troubles",12.710605564092495,0.00036358767121657496,8,0.037020507115455646
"spectre",12.710605564092495,0.00036358767121657496,1,0.0495003693789439
"effetevaluation",12.710605564092495,0.00036358767121657496,0,0.06382312729921102
"sports",12.613010887171678,0.00038307096186798934,2,0.04180631549936464
"levomenthol",12.613010887171678,0.00038307096186798934,1,0.04950036937894388
"strains",12.613010887171678,0.00038307096186798934,8,0.049500369378943906
"antitetanica",12.603129714318248,0.0003851013875224521,0,0.04950036937894389
"mius",12.537845270006123,0.00039879190159019417,2,0.04950036937894387
"trialproyecto",12.536233692154646,0.00039913599815736926,1,0.04950036937894387
"emocionales",12.536233692154646,0.00039913599815736926,1,0.076840923119941
"desordenes",12.536233692154646,0.00039913599815736926,0,0.05750062925968157
"psicologicas",12.536233692154646,0.00039913599815736926,0,0.09499579653168531
"volume",12.523309395099266,0.00040190638866960534,93,0.04950036937894385
"obtained",12.482175977106376,0.00041085334185553767,8,0.0495003693789439
"fistulas",12.471909283801951,0.000413117621200916,21,0.04950036937894387
"pfizer",12.379640648303987,0.00043404067790835246,17,0.06997807876706218
"hyperosmotic",12.371866829771546,0.0004358515933779082,1,0.0461164159463374
"litre",12.371866829771546,0.0004358515933779082,7,0.04950036937894386
"tumeszenzlosungsapplikation",12.35569681646007,0.00043964286642761955,0,0.07476940963843738
"duplex",12.35569681646007,0.00043964286642761955,1,0.0495003693789439
"krampfadern",12.35569681646007,0.00043964286642761955,1,0.04950036937894386
"tla",12.35569681646007,0.00043964286642761955,112,0.047664095709954626
"schaumsklerosierung",12.35569681646007,0.00043964286642761955,1,0.03600512402443394
"katheter",12.35569681646007,0.00043964286642761955,7,0.04950036937894385
"dkks",12.35569681646007,0.00043964286642761955,1,0.048577552947419896
"megfeleloen",12.291854691152565,0.00045493941325025397,0,0.04950036937894389
"voorbereiding",12.26934344490198,0.00046046024274653375,2,0.04950036937894389
"acceptatie",12.26934344490198,0.00046046024274653375,3,0.049500369378943865
"movioprep",12.26934344490198,0.00046046024274653375,1,0.045899095374566795
"identical",12.264075371709836,0.00046176195763571583,45,0.04950036937894388
"neuroprotektiv",12.236551954905016,0.00046862348896570716,1,0.0492158153730256
"therapiestrategien",12.236551954905016,0.00046862348896570716,1,0.04950036937894386
"antipsychotika",12.236551954905016,0.00046862348896570716,6,0.04950036937894388
"neurotoxisch",12.236551954905016,0.00046862348896570716,1,0.06008793659399695
"einnahme",12.2262129069635,0.00047122749788112614,2,0.04950036937894385
"einfach",12.2262129069635,0.00047122749788112614,15,0.04950036937894385
"gerinnung",12.2262129069635,0.00047122749788112614,6,0.07252163968874265
"hamophilie",12.2262129069635,0.00047122749788112614,0,0.04950036937894386
"betain",12.2262129069635,0.00047122749788112614,3,0.04950036937894388
"etanol",12.188333510717737,0.0004808932526006217,1,0.04950036937894388
"centrales",12.188333510717737,0.0004808932526006217,2,0.08574142804780194
"lock",12.188333510717737,0.0004808932526006217,363,0.04208984604741158
"venosos",12.188333510717737,0.0004808932526006217,12,0.056066156544754886
"duracionclinical",12.188333510717737,0.0004808932526006217,0,0.04950036937894386
"tunnelled",12.188333510717737,0.0004808932526006217,2,0.049500369378943886
"ecografia",12.048369811455764,0.0005183769246112729,2,0.049500369378943906
"majorpulmonary",11.974557107560512,0.0005393188366933642,1,0.049500369378943906
"intercostallevobupivacaine",11.974557107560512,0.0005393188366933642,1,0.04950036937894387
"intercostal",11.974557107560512,0.0005393188366933642,3,0.07000583821632317
"videothorascocopyeficacia",11.974557107560512,0.0005393188366933642,0,0.07000234988016318
"deksmedetomidiini",11.973574425742303,0.0005396033265772048,4,0.09559835614443833
"application",11.887783528228901,0.000565033203220805,120,0.06755390409386117
"monopost",11.751793951382998,0.0006078462294912179,1,0.07559937277445346
"ludpf",11.751793951382998,0.0006078462294912179,5,0.049500369378943886
"budpf",11.751793951382998,0.0006078462294912179,5,0.0850420905046357
"sport",11.751793951382998,0.0006078462294912179,134,0.058983667524175165
"anastomosis",11.737860013155652,0.0006124140066379596,7,0.06174885728048629
"solfato",11.650493864436553,0.0006418549256197907,2,0.08564951919966035
"subjectsfarmacocinetica",11.650493864436553,0.0006418549256197907,1,0.04950036937894388
"aministered",11.650493864436553,0.0006418549256197907,1,0.07000583821632317
"volontari",11.650493864436553,0.0006418549256197907,1,0.0407090549415463
"ketorolac",11.642415512682824,0.0006446483749920624,12,0.04124374656222932
"isopto",11.601874906968876,0.0006588536375049894,1,0.04950036937894385
"prufer",11.601874906968876,0.0006588536375049894,0,0.049500369378943844
"spersadex",11.601874906968876,0.0006588536375049894,1,0.0905481877712284
"infektioser",11.601874906968876,0.0006588536375049894,0,0.07118945974883352
"supraaortic",11.578887030603077,0.0006670485377344132,1,0.07000583821632322
"gadoterate",11.578887030603077,0.0006670485377344132,2,0.04950036937894388
"gedobenate",11.578887030603077,0.0006670485377344132,1,0.04950036937894388
"hair",11.545047494295531,0.0006792996495386846,20,0.04950036937894386
"disorders",11.533628692392426,0.0006834847456065971,91,0.049500369378943865
"intracranienne",11.527202435788972,0.0006858514714099117,0,0.07000484769559129
"hypertonique",11.527202435788972,0.0006858514714099117,2,0.049500369378943886
"acces",11.527202435788972,0.0006858514714099117,144,0.08949312129657117
"sanguin",11.527202435788972,0.0006858514714099117,14,0.04950036937894389
"hcn",11.492790515308883,0.0006986666249057492,3,0.049500369378943865
"borne",11.488904046955367,0.0007001290831452873,10,0.03426376486828825
"shocktherapeutic",11.477929572412808,0.0007042754393833593,1,0.049500369378943865
"questionnaires",11.434305983879392,0.0007210040033159303,2,0.04950036937894388
"dental",11.433990129270672,0.0007211265782520872,28,0.04950036937894388
"embryology",11.389616978586634,0.0007385575743871453,11,0.04105157482383138
"gadolinium",11.371879672520757,0.0007456438154725959,7,0.04950036937894388
"hboc",11.336948928846203,0.0007598005279574959,1,0.10643056043231396
"bovine",11.336948928846203,0.0007598005279574959,1,0.04950036937894388
"glutamer",11.336948928846203,0.0007598005279574959,1,0.04950036937894389
"enos",11.312090777687255,0.0007700401542055541,749,0.04950036937894389
"temporarily",11.312090777687255,0.0007700401542055541,4,0.06785164917845578
"strategies",11.309697489202906,0.000771033332513465,106,0.04950036937894389
"tar",11.287610049709816,0.0007802606028673505,2662,0.04950036937894389
"adjunct",11.226138952262751,0.0008065326198905542,977,0.0495003693789439
"conservantes",11.2233643058884,0.0008077393371700769,9,0.0459529095208144
"kedrion",11.195714757089874,0.0008198645062831814,5,0.04950036937894389
"vestipitant",11.17984167012016,0.0008269082855336771,5,0.04950036937894387
"hp",11.157820029801089,0.0008367819351111908,413,0.10209020718009386
"anestesica",11.133000757472635,0.0008480528537740649,0,0.08535072137805874
"bronchiectasieen",11.124976216202011,0.0008517296845355796,0,0.049500369378943886
"omgevingslucht",11.124976216202011,0.0008517296845355796,1,0.04950036937894389
"ambient",11.124976216202011,0.0008517296845355796,1,0.04950036937894389
"tobramycine",11.124976216202011,0.0008517296845355796,2,0.04950036937894388
"inhalatie",11.124976216202011,0.0008517296845355796,2,0.04950036937894385
"koolstofdioxide",11.124976216202011,0.0008517296845355796,1,0.13045981939898346
"depositie",11.124976216202011,0.0008517296845355796,1,0.06932814488837108
"carbon",11.124976216202011,0.0008517296845355796,45,0.04950036937894388
"verrijkte",11.124976216202011,0.0008517296845355796,1,0.04950036937894389
"dioxide",11.124976216202011,0.0008517296845355796,1,0.12875811182252578
"supplementazione",11.109858297231993,0.0008587005208889293,4,0.04950036937894387
"sativus",11.109858297231993,0.0008587005208889293,1,0.04950036937894388
"safamd",11.109858297231993,0.0008587005208889293,1,0.04950036937894388
"dietetica",11.109858297231993,0.0008587005208889293,1,0.049500369378943844
"estratto",11.109858297231993,0.0008587005208889293,5,0.04950036937894386
"zafferano",11.109858297231993,0.0008587005208889293,1,0.05176567203998868
"crocus",11.109858297231993,0.0008587005208889293,1,0.05640542620146168
"eluting",11.100616253527612,0.0008629903796484563,22,0.04950036937894387
"anterior",11.05549836073867,0.0008842457456336435,121,0.09242468740111444
"mbt",11.053612765745168,0.0008851454951412586,8,0.04950036937894385
"chronologically",11.038293442932945,0.0008924898064240762,1,0.037252969344260416
"hospitalarios",11.038293442932945,0.0008924898064240762,1,0.04950036937894389
"ingresos",11.038293442932945,0.0008924898064240762,1,0.04950036937894386
"cronologicamente",11.038293442932945,0.0008924898064240762,0,0.049500369378943865
"admissions",11.038293442932945,0.0008924898064240762,2,0.11033114078319531
"acupuncture",11.038293442932945,0.0008924898064240762,4,0.049500369378943886
"acupuntura",11.038293442932945,0.0008924898064240762,1,0.06771522936968517
"assessment",11.001326197949698,0.000910467180704399,390,0.049500369378943844
"reconstruction",11.001226536079962,0.0009105161383753448,5,0.049500369378943865
"scores",10.943270574062225,0.0009394419270615821,4,0.04950036937894389
"woundsensayo",10.894903902766991,0.0009642919170000813,1,0.04441276615513339
"elicited",10.8939605049898,0.0009647831717066072,3,0.04950036937894389
"prostatica",10.84545583550681,0.0009903849661362285,3,0.049500369378943865
"portal",10.84481877605894,0.0009907257514400723,19,0.049500369378943906
"azitromicina",10.812014930651422,0.0010084348880258923,4,0.045330964113777746
"completo",10.812014930651422,0.0010084348880258923,14,0.04950036937894388
"purulenta",10.812014930651422,0.0010084348880258923,4,0.04950036937894389
"gastrografin",10.75184902120531,0.001041751843889237,1,0.049500369378943886
"glioblastomaestudio",10.661991632052512,0.0010935957450492187,1,0.04950036937894386
"clinicade",10.646537013088654,0.0011027719656172804,0,0.054163496398369974
"mala",10.646537013088654,0.0011027719656172804,306,0.08574142804780206
"predictivo",10.646537013088654,0.0011027719656172804,2,0.049500369378943865
"incorrect",10.646537013088654,0.0011027719656172804,1,0.0495003693789439
"colonoscopyensayo",10.646537013088654,0.0011027719656172804,1,0.0495003693789439
"codeine",10.63091836709637,0.001112124721006172,8,0.06089904086270571
"validate",10.612588740421485,0.0011232032715487658,7,0.08573967290297477
"glucosamina",10.580924484903285,0.0011426050668860925,3,0.04950036937894388
"synchronisation",10.54634175403538,0.0011641827837363887,3,0.03364300693673892
"follicle",10.54634175403538,0.0011641827837363887,3,0.04950036937894385
"started",10.54634175403538,0.0011641827837363887,7,0.049500369378943886
"gonadotrophin",10.54634175403538,0.0011641827837363887,4,0.04950036937894389
"extubationszeiten",10.527232526831977,0.0011762822674880214,1,0.0560554700261455
"kostenanalyse",10.527232526831977,0.0011762822674880214,1,0.07000583821632309
"sevofluran",10.527232526831977,0.0011762822674880214,25,0.04307094013577245
"leberfunktion",10.527232526831977,0.0011762822674880214,3,0.07000583821632321
"sedierungsregimes",10.527232526831977,0.0011762822674880214,1,0.06223240595524416
"sedierung",10.527232526831977,0.0011762822674880214,2,0.05151881689380918
"intensivpatienten",10.527232526831977,0.0011762822674880214,3,0.09699431391244363
"postoperativen",10.527232526831977,0.0011762822674880214,4,0.04092893849411899
"inhalative",10.527232526831977,0.0011762822674880214,5,0.08623605040616591
"kardioprotektion",10.527232526831977,0.0011762822674880214,1,0.04950036937894387
"hamodynamik",10.527232526831977,0.0011762822674880214,0,0.04950036937894387
"beatmeten",10.527232526831977,0.0011762822674880214,1,0.049500369378943886
"nieren",10.527232526831977,0.0011762822674880214,23,0.04950036937894389
"aufwachverhalten",10.527232526831977,0.0011762822674880214,1,0.04950036937894389
"adapalene",10.504859109632973,0.0011906103664850263,13,0.054638736214870316
"warts",10.49613561383749,0.0011962446938319534,17,0.049500369378943886
"monodose",10.424435412499026,0.0012435886857803345,3,0.04950036937894388
"bimatoprost",10.407573956454568,0.0012549951080955298,43,0.06998288039152516
"maculare",10.404156991869106,0.0012573194848683163,7,0.04950036937894387
"ovules",10.311393368413972,0.001322114226177727,2,0.05496452028072889
"wirkung",10.299203138324783,0.0013308766735950744,45,0.04950036937894388
"technology",10.243983722793118,0.0013713111347152757,46,0.049500369378943886
"stulln",10.227784979466186,0.0013834069769028876,1,0.04950036937894387
"augenentzundungen",10.227784979466186,0.0013834069769028876,0,0.04950036937894386
"ophtha",10.227784979466186,0.0013834069769028876,106,0.049500369378943844
"zaditen",10.227784979466186,0.0013834069769028876,1,0.049500369378943844
"prufarzt",10.227784979466186,0.0013834069769028876,0,0.03686219038999013
"strata",10.227784979466186,0.0013834069769028876,31,0.04950036937894388
"auge",10.227784979466186,0.0013834069769028876,12,0.05511727004673648
"sine",10.227784979466186,0.0013834069769028876,488,0.06998595284411917
"ud",10.227784979466186,0.0013834069769028876,43466,0.049500369378943865
"keto",10.227784979466186,0.0013834069769028876,103,0.049500369378943886
"halbseitenvergleich",10.227784979466186,0.0013834069769028876,2,0.04950036937894385
"allergischen",10.227784979466186,0.0013834069769028876,2,0.09530761349630897
"labialis",10.199395193417253,0.0014048672147513907,12,0.04328265880602342
"visual",10.193333527060906,0.0014094928058243702,150,0.044157944243084335
"ferrica",10.18397356845142,0.001416665595151836,0,0.07000583821632309
"drops",10.165049517788196,0.001431280710904892,170,0.06407323500737121
